!!! DATE = 20200324
!!!  NET = approx21.net                                                                                                                    
h1          7.1843256033E-01
he3         4.4569660777E-05
he4         2.6849589414E-01
c12         2.3041988261E-03
n14         6.7497405114E-04
o16         5.5854041469E-03
ne20        1.2242380129E-03
mg24        6.8967876831E-04
si28        6.4778921807E-04
s32         3.0128843133E-04
ar36        7.1523121960E-05
ca40        6.2496762451E-05
ti44        0.0000000000E+00
cr48        0.0000000000E+00
cr56        0.0000000000E+00
fe52        0.0000000000E+00
fe54        7.5383234732E-05
fe56        1.1833555722E-03
ni56        0.0000000000E+00
