initial_z,Zbase,m1,m2,initial_period_in_days
1.42e-06,1.42e-06,268.9030915717,11.385542442,0.3544082896
1.42e-06,1.42e-06,0.7575363294,4.5020780331,2.5794633925
1.42e-06,1.42e-06,2.6112202479,10.4715542968,0.5971139568
1.42e-06,1.42e-06,137.1259515104,1.9676179947,10.4083092613
1.42e-06,1.42e-06,16.22034601,37.5695614984,21.8428713036
1.42e-06,1.42e-06,206.3776238125,2.5295908319,21.995918213
1.42e-06,1.42e-06,0.7957631404,15.8170343768,88.6393478059
1.42e-06,1.42e-06,19.6607157286,5.2497628657,4.7449531872
1.42e-06,1.42e-06,55.3138061436,19.5587220116,0.313234826
1.42e-06,1.42e-06,4.782352736,2.0885473119,14.2345571192
1.42e-06,1.42e-06,0.8775002552,11.5605043366,1.2502804466
1.42e-06,1.42e-06,0.9615469651,47.5230688806,11.8931257559
1.42e-06,1.42e-06,173.7519163579,1.0943460318,83.8865166257
1.42e-06,1.42e-06,71.4903643333,2.0594444271,0.1874159014
1.42e-06,1.42e-06,0.9475226258,3.6535033681,449.6732560857
1.42e-06,1.42e-06,0.689808645,15.8127253229,609.4001898939
1.42e-06,1.42e-06,0.8969092613,3.6065679493,2128.6306182614
1.42e-06,1.42e-06,6.8259033407,18.1730819444,2.2631082899
1.42e-06,1.42e-06,1.8409508313,2.4628082553,1.1801953547
1.42e-06,1.42e-06,5.8267782378,1.1306768515,54.8755936284
1.42e-06,1.42e-06,22.0852716704,12.3954727377,68.9514160099
1.42e-06,1.42e-06,1.9890945906,31.2080871156,229.8962952531
1.42e-06,1.42e-06,6.909385352,1.4945244563,75.2961337099
1.42e-06,1.42e-06,4.3054507713,1.4761508555,51.9678998178
1.42e-06,1.42e-06,155.8662365642,3.8534427293,1.3323082904
1.42e-06,1.42e-06,10.6747914638,2.0213045068,95.1698086793
1.42e-06,1.42e-06,42.4298758398,28.5950281165,91.9585746482
1.42e-06,1.42e-06,2.4425843498,7.7402738255,7.7633904861
1.42e-06,1.42e-06,190.5117501183,16.7021531378,18.0025557088
1.42e-06,1.42e-06,2.1144844238,29.8834711447,0.6137851358
1.42e-06,1.42e-06,257.5931768232,1.9039616283,1137.1669249498
1.42e-06,1.42e-06,2.080090547,21.7577709001,683.3179028342
1.42e-06,1.42e-06,48.8688441445,11.1669517302,0.5648431187
1.42e-06,1.42e-06,102.6462051868,13.2675718177,44.5919753568
1.42e-06,1.42e-06,7.0053904422,3.4105308139,283.5867165396
1.42e-06,1.42e-06,3.0653361465,20.6815085166,714.1233534268
1.42e-06,1.42e-06,83.5869567917,2.9143285109,507.4497052233
1.42e-06,1.42e-06,0.6130314672,2.4547093771,19.6839162992
1.42e-06,1.42e-06,1.4369386069,3.6753053108,19.962045021
1.42e-06,1.42e-06,2.1832132375,4.1394134948,281.0920477571
1.42e-06,1.42e-06,101.3409684925,1.0412635806,0.2096943969
1.42e-06,1.42e-06,148.5187043684,20.4288231117,3138.6650138913
1.42e-06,1.42e-06,62.1251529779,4.2147632339,35.1436875813
1.42e-06,1.42e-06,90.6009714203,36.3865767114,390.4664130481
1.42e-06,1.42e-06,3.4734457328,13.6179141989,566.6929316034
1.42e-06,1.42e-06,0.7038354783,11.8991978319,1.4600929748
1.42e-06,1.42e-06,51.4226204918,5.1059747378,19.9540495787
1.42e-06,1.42e-06,0.6430421954,1.734635402,0.5302563432
1.42e-06,1.42e-06,133.8222917441,2.5869923973,304.8969589456
1.42e-06,1.42e-06,0.7922844942,7.7834241318,1.3832459138
1.42e-06,1.42e-06,1.0041707849,3.7804531459,287.6340499293
1.42e-06,1.42e-06,12.6268462875,1.6524484029,52.2182651892
1.42e-06,1.42e-06,239.4392493596,22.7523219463,1.4892683599
1.42e-06,1.42e-06,13.0339804683,26.3353495536,226.2241878317
1.42e-06,1.42e-06,247.5137135359,5.2086624556,0.1445771604
1.42e-06,1.42e-06,250.0536889728,31.8966861658,9.8358240186
1.42e-06,1.42e-06,1.208628526,1.9706153655,5.0382785913
1.42e-06,1.42e-06,1.6423120023,1.7032757442,18.3562906726
1.42e-06,1.42e-06,0.5017830813,3.7690455242,2.1841895219
1.42e-06,1.42e-06,187.3908313326,4.3772873634,1.148748241
1.42e-06,1.42e-06,12.1704173689,23.749578095,282.8435624192
1.42e-06,1.42e-06,8.4527902141,3.4465825267,10.9101412559
1.42e-06,1.42e-06,10.3734549698,12.4611336419,0.8101923965
1.42e-06,1.42e-06,1.6474980162,11.7963416404,592.0139432972
1.42e-06,1.42e-06,28.902567396,9.1028795358,2.464178188
1.42e-06,1.42e-06,8.9951704727,1.5024273876,567.2879650251
1.42e-06,1.42e-06,2.3127244828,1.616248632,4.8859652928
1.42e-06,1.42e-06,24.8586270346,9.0149358468,221.2868140456
1.42e-06,1.42e-06,12.5512233069,14.8117074217,124.6283308178
1.42e-06,1.42e-06,3.2722056519,3.3328172469,232.9487667272
1.42e-06,1.42e-06,17.7229202342,23.3921076617,0.2224034114
1.42e-06,1.42e-06,231.9588277465,6.7462543306,6.037841618
1.42e-06,1.42e-06,11.791579668,15.2267344176,24.1098312577
1.42e-06,1.42e-06,11.0584484211,3.3404443869,0.2675287203
1.42e-06,1.42e-06,13.4511342243,11.8308651608,1618.86979043
1.42e-06,1.42e-06,34.5191579348,24.1543757859,52.2506050198
1.42e-06,1.42e-06,1.3088025286,5.6005296113,0.4044040771
1.42e-06,1.42e-06,2.635041515,30.6083241122,2903.1444872527
1.42e-06,1.42e-06,13.5147982726,3.272762013,24.1495576224
1.42e-06,1.42e-06,6.7261557076,14.9803829593,74.5388164951
1.42e-06,1.42e-06,214.4512506656,47.9652027038,4.4426950689
1.42e-06,1.42e-06,8.3261818021,1.1645539956,0.5481000654
1.42e-06,1.42e-06,3.016789224,2.3416994421,386.0764680583
1.42e-06,1.42e-06,0.6531689634,3.6036329239,0.1571880895
1.42e-06,1.42e-06,44.6357021424,2.0384309679,5.9568903437
1.42e-06,1.42e-06,40.6600763761,8.3462878216,419.3477326958
1.42e-06,1.42e-06,210.7526961337,2.8423418344,3.3859344269
1.42e-06,1.42e-06,213.3754182895,25.4264363198,23.3095605909
1.42e-06,1.42e-06,6.6747167011,4.4602503278,984.7657965291
1.42e-06,1.42e-06,23.0312761481,1.5508080163,52.9149937041
1.42e-06,1.42e-06,264.5520288442,2.2057528014,2204.746706557
1.42e-06,1.42e-06,6.5074616205,10.6526566364,1.5744116719
1.42e-06,1.42e-06,2.0693058603,2.3732224172,77.5802615772
1.42e-06,1.42e-06,0.8089079714,7.3494046949,310.7825255639
1.42e-06,1.42e-06,3.4146929682,9.5414963259,33.6606883534
1.42e-06,1.42e-06,0.8809297835,23.1318863726,19.8044709291
1.42e-06,1.42e-06,6.5768162216,34.7707223708,189.0126960698
1.42e-06,1.42e-06,2.064657183,4.5513212727,0.222344701
1.42e-06,1.42e-06,136.4090512347,4.4547324279,2.8270827407
1.42e-06,1.42e-06,11.2324268743,1.4624165434,118.5590797637
1.42e-06,1.42e-06,0.5225316511,9.1792384186,1.9356934551
1.42e-06,1.42e-06,51.975181146,19.1827453686,1031.4627734668
1.42e-06,1.42e-06,24.0510593029,1.2200582077,11.9574084204
1.42e-06,1.42e-06,31.6566801973,36.0781279428,0.1161133419
1.42e-06,1.42e-06,19.9762205058,18.8398461749,39.3041355008
1.42e-06,1.42e-06,4.4878102971,1.3584107415,226.9697866616
1.42e-06,1.42e-06,77.4995237326,7.5012960145,10.0342968823
1.42e-06,1.42e-06,3.2527511663,2.9155095666,1.7015943955
1.42e-06,1.42e-06,0.6996100833,4.6897247707,0.4933729487
1.42e-06,1.42e-06,0.7621515976,1.4933018874,2384.80009631
1.42e-06,1.42e-06,1.2593332053,5.0291500869,79.4778405013
1.42e-06,1.42e-06,14.0159733174,7.8682605193,8.7868505467
1.42e-06,1.42e-06,1.0961471782,3.1274512354,19.9561220789
1.42e-06,1.42e-06,124.0506782097,24.1452239773,0.1286705966
1.42e-06,1.42e-06,10.0236030108,2.6162502142,22.9449205583
1.42e-06,1.42e-06,0.6860964261,2.2857088412,23.5903510756
1.42e-06,1.42e-06,145.0008904668,4.3466501875,24.3814000598
1.42e-06,1.42e-06,255.4999349558,17.9692506147,1671.5958929278
1.42e-06,1.42e-06,44.6716740581,1.7939230631,0.206851102
1.42e-06,1.42e-06,112.3263320292,2.0805594145,11.2608712476
1.42e-06,1.42e-06,201.9519130177,16.555974664,856.425344292
1.42e-06,1.42e-06,0.7777099247,4.3010356308,1133.1405314598
1.42e-06,1.42e-06,82.5203369543,1.2109714973,2816.1388032931
1.42e-06,1.42e-06,44.9238457158,4.9852601433,799.4557446634
1.42e-06,1.42e-06,15.0207007188,12.0121822407,100.1026003124
1.42e-06,1.42e-06,45.6483440392,1.98847027,4.0956171514
1.42e-06,1.42e-06,2.254524865,20.1191604758,1712.7190180068
1.42e-06,1.42e-06,64.2262205623,43.4968474691,0.4343376402
1.42e-06,1.42e-06,4.3696293089,19.5278151105,0.1330825156
1.42e-06,1.42e-06,37.478630261,1.6135237917,0.8479868985
1.42e-06,1.42e-06,1.6426579591,1.0169941546,2596.2626399202
1.42e-06,1.42e-06,6.2977827614,10.3278647523,40.149645951
1.42e-06,1.42e-06,1.4980790104,3.4883597368,107.716329857
1.42e-06,1.42e-06,10.8163446936,1.8024451916,6.6701371448
1.42e-06,1.42e-06,17.3166278276,2.6616258043,8.2840068587
1.42e-06,1.42e-06,44.2037258549,1.8441785665,70.3048729849
1.42e-06,1.42e-06,102.8548044891,13.3482282885,105.3343661359
1.42e-06,1.42e-06,1.8288221771,1.272734251,15.4899273093
1.42e-06,1.42e-06,209.2633621551,1.8281672926,0.5155833737
1.42e-06,1.42e-06,45.8916245492,1.5252296456,1.0185744248
1.42e-06,1.42e-06,198.5750679753,7.8932734417,8.9600403247
1.42e-06,1.42e-06,1.7772976803,5.7118609363,3.8694032678
1.42e-06,1.42e-06,11.7771838044,12.6630502478,11.1561051247
1.42e-06,1.42e-06,32.832600513,2.6445010452,20.8953307077
1.42e-06,1.42e-06,11.3808099319,5.0484168793,15.2893005837
1.42e-06,1.42e-06,308.7980424178,4.8134549942,4.6491371063
1.42e-06,1.42e-06,2.2241467754,2.54361121,2183.2201485301
1.42e-06,1.42e-06,1.3945621775,1.2050580251,5.1839047517
1.42e-06,1.42e-06,56.0918045755,12.614518759,0.6980932618
1.42e-06,1.42e-06,103.2829070881,1.0580625956,0.9131811137
1.42e-06,1.42e-06,12.0040008807,1.7736219701,0.3637082446
1.42e-06,1.42e-06,2.3265548543,6.4404705571,1.8971189329
1.42e-06,1.42e-06,14.4272831666,1.3705140151,43.1355735902
1.42e-06,1.42e-06,40.2750814123,1.6153304192,72.227721999
1.42e-06,1.42e-06,21.8492693825,2.7214581124,351.4531875407
1.42e-06,1.42e-06,4.6293595245,14.4198186724,2.1307720954
1.42e-06,1.42e-06,111.7123400775,46.2446042885,0.2853713528
1.42e-06,1.42e-06,0.6034941855,16.786843179,16.3988924974
1.42e-06,1.42e-06,3.1709369059,2.7805186595,1.3771196015
1.42e-06,1.42e-06,1.4121849795,41.6098419291,0.1535643915
1.42e-06,1.42e-06,1.1687973564,1.115318544,56.9392275228
1.42e-06,1.42e-06,295.5591657754,4.8407033392,0.1301022086
1.42e-06,1.42e-06,94.7504555438,26.0902981226,0.1805375022
1.42e-06,1.42e-06,1.041927659,12.7978624736,2.1532325526
1.42e-06,1.42e-06,69.2288584996,42.7777438251,1.4984996434
1.42e-06,1.42e-06,266.9502430958,17.3302676535,1829.5069237899
1.42e-06,1.42e-06,0.612737646,1.5574667988,0.9209913417
1.42e-06,1.42e-06,27.2483960417,2.8785664508,855.9043257796
1.42e-06,1.42e-06,8.6837366613,15.0276228596,7.2640190509
1.42e-06,1.42e-06,148.3912952353,28.2373927482,1.1228473025
1.42e-06,1.42e-06,3.2946890781,6.6778963007,192.7325517064
1.42e-06,1.42e-06,4.9493089722,1.052044148,0.8827272317
1.42e-06,1.42e-06,295.4431930063,48.4101151101,3.5020152227
1.42e-06,1.42e-06,17.4173907931,16.4937980481,3.6101497116
1.42e-06,1.42e-06,117.2591508164,1.2229605392,1758.8405601181
1.42e-06,1.42e-06,2.043149212,8.3683490631,120.990896512
1.42e-06,1.42e-06,71.9424277749,1.5819936383,5.4650469413
1.42e-06,1.42e-06,222.9903100225,3.9838091943,23.740600785
1.42e-06,1.42e-06,4.0715227903,45.8189248024,85.2370611707
1.42e-06,1.42e-06,9.427501469,1.7397779534,53.078594289
1.42e-06,1.42e-06,201.9137184041,14.141987775,16.7076552326
1.42e-06,1.42e-06,259.3982002188,5.2699955867,102.3871232828
1.42e-06,1.42e-06,10.2425842239,33.7775766822,251.9128601929
1.42e-06,1.42e-06,2.4203669084,7.0307586868,0.2956671276
1.42e-06,1.42e-06,14.1739468459,8.6561794576,0.156370415
1.42e-06,1.42e-06,20.9810840851,3.0380495807,8.2513960002
1.42e-06,1.42e-06,14.896875483,2.4006800609,0.1197482303
1.42e-06,1.42e-06,28.6929630787,1.9742681945,1.9297776658
1.42e-06,1.42e-06,0.7429964276,19.3859687323,11.8995857741
1.42e-06,1.42e-06,42.1351461038,6.0117940707,8.2714193841
1.42e-06,1.42e-06,59.9981194218,3.9609491077,0.464421523
1.42e-06,1.42e-06,242.627730182,4.971734501,462.1939813272
1.42e-06,1.42e-06,20.975812704,7.7325563721,36.9004066854
1.42e-06,1.42e-06,4.1856193913,4.7821265293,17.461533883
1.42e-06,1.42e-06,103.4228444257,3.6908163688,0.4118919509
1.42e-06,1.42e-06,4.1230876878,4.7002373211,10.1006726161
1.42e-06,1.42e-06,66.7329338475,22.9358097889,3.5266172873
1.42e-06,1.42e-06,1.0478091146,1.5523150262,259.6680639436
1.42e-06,1.42e-06,0.5203107472,21.3955861427,17.2763075884
1.42e-06,1.42e-06,1.5318789237,43.0657071781,4.6692384702
1.42e-06,1.42e-06,9.2566065766,14.048523795,48.792292156
1.42e-06,1.42e-06,24.0670905392,1.0638895974,13.9896698171
1.42e-06,1.42e-06,11.1090526184,7.2050069525,0.9106230338
1.42e-06,1.42e-06,5.0848602391,2.8599678363,54.0371031262
1.42e-06,1.42e-06,7.187708596,14.4025473572,2.2795117918
1.42e-06,1.42e-06,318.9605637924,3.1347312886,167.031506611
1.42e-06,1.42e-06,1.4739741126,24.6278610737,0.693777824
1.42e-06,1.42e-06,94.8444587396,34.7900703278,0.2288276065
1.42e-06,1.42e-06,11.4010199499,5.6262770094,10.0099066523
1.42e-06,1.42e-06,0.5224554308,10.1181959094,4.7341284522
1.42e-06,1.42e-06,3.942787265,5.2094573705,11.8389111836
1.42e-06,1.42e-06,86.7193098704,10.1056992655,0.2820579426
