initial_z,Zbase,m1,m2,initial_period_in_days
0.0284,0.0284,0.5,1.0,0.1
0.0284,0.0284,0.5,1.0,0.1429461338
0.0284,0.0284,0.5,1.0,0.2043359718
0.0284,0.0284,0.5,1.0,0.2920903717
0.0284,0.0284,0.5,1.0,0.4175318937
0.0284,0.0284,0.5,1.0,0.5968456995
0.0284,0.0284,0.5,1.0,0.8531678524
0.0284,0.0284,0.5,1.0,1.2195704602
0.0284,0.0284,0.5,1.0,1.7433288222
0.0284,0.0284,0.5,1.0,2.4920211514
0.0284,0.0284,0.5,1.0,3.5622478903
0.0284,0.0284,0.5,1.0,5.0920956368
0.0284,0.0284,0.5,1.0,7.278953844
0.0284,0.0284,0.5,1.0,10.4049831037
0.0284,0.0284,0.5,1.0,14.8735210729
0.0284,0.0284,0.5,1.0,21.261123339
0.0284,0.0284,0.5,1.0,30.3919538231
0.0284,0.0284,0.5,1.0,43.4441229873
0.0284,0.0284,0.5,1.0,62.1016941892
0.0284,0.0284,0.5,1.0,88.7719708899
0.0284,0.0284,0.5,1.0,126.8961003168
0.0284,0.0284,0.5,1.0,181.3930693911
0.0284,0.0284,0.5,1.0,259.2943797405
0.0284,0.0284,0.5,1.0,370.6512910922
0.0284,0.0284,0.5,1.0,529.8316906284
0.0284,0.0284,0.5,1.0,757.3739175895
0.0284,0.0284,0.5,1.0,1082.6367338741
0.0284,0.0284,0.5,1.0,1547.5873545579
0.0284,0.0284,0.5,1.0,2212.2162910704
0.0284,0.0284,0.5,1.0,3162.2776601684
0.0284,0.0284,0.5754413442,1.0,0.1
0.0284,0.0284,0.5754413442,1.0,0.1429461338
0.0284,0.0284,0.5754413442,1.0,0.2043359718
0.0284,0.0284,0.5754413442,1.0,0.2920903717
0.0284,0.0284,0.5754413442,1.0,0.4175318937
0.0284,0.0284,0.5754413442,1.0,0.5968456995
0.0284,0.0284,0.5754413442,1.0,0.8531678524
0.0284,0.0284,0.5754413442,1.0,1.2195704602
0.0284,0.0284,0.5754413442,1.0,1.7433288222
0.0284,0.0284,0.5754413442,1.0,2.4920211514
0.0284,0.0284,0.5754413442,1.0,3.5622478903
0.0284,0.0284,0.5754413442,1.0,5.0920956368
0.0284,0.0284,0.5754413442,1.0,7.278953844
0.0284,0.0284,0.5754413442,1.0,10.4049831037
0.0284,0.0284,0.5754413442,1.0,14.8735210729
0.0284,0.0284,0.5754413442,1.0,21.261123339
0.0284,0.0284,0.5754413442,1.0,30.3919538231
0.0284,0.0284,0.5754413442,1.0,43.4441229873
0.0284,0.0284,0.5754413442,1.0,62.1016941892
0.0284,0.0284,0.5754413442,1.0,88.7719708899
0.0284,0.0284,0.5754413442,1.0,126.8961003168
0.0284,0.0284,0.5754413442,1.0,181.3930693911
0.0284,0.0284,0.5754413442,1.0,259.2943797405
0.0284,0.0284,0.5754413442,1.0,370.6512910922
0.0284,0.0284,0.5754413442,1.0,529.8316906284
0.0284,0.0284,0.5754413442,1.0,757.3739175895
0.0284,0.0284,0.5754413442,1.0,1082.6367338741
0.0284,0.0284,0.5754413442,1.0,1547.5873545579
0.0284,0.0284,0.5754413442,1.0,2212.2162910704
0.0284,0.0284,0.5754413442,1.0,3162.2776601684
0.0284,0.0284,0.6622654813,1.0,0.1
0.0284,0.0284,0.6622654813,1.0,0.1429461338
0.0284,0.0284,0.6622654813,1.0,0.2043359718
0.0284,0.0284,0.6622654813,1.0,0.2920903717
0.0284,0.0284,0.6622654813,1.0,0.4175318937
0.0284,0.0284,0.6622654813,1.0,0.5968456995
0.0284,0.0284,0.6622654813,1.0,0.8531678524
0.0284,0.0284,0.6622654813,1.0,1.2195704602
0.0284,0.0284,0.6622654813,1.0,1.7433288222
0.0284,0.0284,0.6622654813,1.0,2.4920211514
0.0284,0.0284,0.6622654813,1.0,3.5622478903
0.0284,0.0284,0.6622654813,1.0,5.0920956368
0.0284,0.0284,0.6622654813,1.0,7.278953844
0.0284,0.0284,0.6622654813,1.0,10.4049831037
0.0284,0.0284,0.6622654813,1.0,14.8735210729
0.0284,0.0284,0.6622654813,1.0,21.261123339
0.0284,0.0284,0.6622654813,1.0,30.3919538231
0.0284,0.0284,0.6622654813,1.0,43.4441229873
0.0284,0.0284,0.6622654813,1.0,62.1016941892
0.0284,0.0284,0.6622654813,1.0,88.7719708899
0.0284,0.0284,0.6622654813,1.0,126.8961003168
0.0284,0.0284,0.6622654813,1.0,181.3930693911
0.0284,0.0284,0.6622654813,1.0,259.2943797405
0.0284,0.0284,0.6622654813,1.0,370.6512910922
0.0284,0.0284,0.6622654813,1.0,529.8316906284
0.0284,0.0284,0.6622654813,1.0,757.3739175895
0.0284,0.0284,0.6622654813,1.0,1082.6367338741
0.0284,0.0284,0.6622654813,1.0,1547.5873545579
0.0284,0.0284,0.6622654813,1.0,2212.2162910704
0.0284,0.0284,0.6622654813,1.0,3162.2776601684
0.0284,0.0284,0.7621898776,1.0,0.1
0.0284,0.0284,0.7621898776,1.0,0.1429461338
0.0284,0.0284,0.7621898776,1.0,0.2043359718
0.0284,0.0284,0.7621898776,1.0,0.2920903717
0.0284,0.0284,0.7621898776,1.0,0.4175318937
0.0284,0.0284,0.7621898776,1.0,0.5968456995
0.0284,0.0284,0.7621898776,1.0,0.8531678524
0.0284,0.0284,0.7621898776,1.0,1.2195704602
0.0284,0.0284,0.7621898776,1.0,1.7433288222
0.0284,0.0284,0.7621898776,1.0,2.4920211514
0.0284,0.0284,0.7621898776,1.0,3.5622478903
0.0284,0.0284,0.7621898776,1.0,5.0920956368
0.0284,0.0284,0.7621898776,1.0,7.278953844
0.0284,0.0284,0.7621898776,1.0,10.4049831037
0.0284,0.0284,0.7621898776,1.0,14.8735210729
0.0284,0.0284,0.7621898776,1.0,21.261123339
0.0284,0.0284,0.7621898776,1.0,30.3919538231
0.0284,0.0284,0.7621898776,1.0,43.4441229873
0.0284,0.0284,0.7621898776,1.0,62.1016941892
0.0284,0.0284,0.7621898776,1.0,88.7719708899
0.0284,0.0284,0.7621898776,1.0,126.8961003168
0.0284,0.0284,0.7621898776,1.0,181.3930693911
0.0284,0.0284,0.7621898776,1.0,259.2943797405
0.0284,0.0284,0.7621898776,1.0,370.6512910922
0.0284,0.0284,0.7621898776,1.0,529.8316906284
0.0284,0.0284,0.7621898776,1.0,757.3739175895
0.0284,0.0284,0.7621898776,1.0,1082.6367338741
0.0284,0.0284,0.7621898776,1.0,1547.5873545579
0.0284,0.0284,0.7621898776,1.0,2212.2162910704
0.0284,0.0284,0.7621898776,1.0,3162.2776601684
0.0284,0.0284,0.8771911355,1.0,0.1
0.0284,0.0284,0.8771911355,1.0,0.1429461338
0.0284,0.0284,0.8771911355,1.0,0.2043359718
0.0284,0.0284,0.8771911355,1.0,0.2920903717
0.0284,0.0284,0.8771911355,1.0,0.4175318937
0.0284,0.0284,0.8771911355,1.0,0.5968456995
0.0284,0.0284,0.8771911355,1.0,0.8531678524
0.0284,0.0284,0.8771911355,1.0,1.2195704602
0.0284,0.0284,0.8771911355,1.0,1.7433288222
0.0284,0.0284,0.8771911355,1.0,2.4920211514
0.0284,0.0284,0.8771911355,1.0,3.5622478903
0.0284,0.0284,0.8771911355,1.0,5.0920956368
0.0284,0.0284,0.8771911355,1.0,7.278953844
0.0284,0.0284,0.8771911355,1.0,10.4049831037
0.0284,0.0284,0.8771911355,1.0,14.8735210729
0.0284,0.0284,0.8771911355,1.0,21.261123339
