initial_z,Zbase,m1,m2,initial_period_in_days
0.0284,0.0284,42.2663930116,3.8385038641,1339.5868505672
0.0284,0.0284,0.8359707522,38.9837489725,0.1129663706
0.0284,0.0284,0.5500567891,12.0936532575,0.1679965108
0.0284,0.0284,31.1204298131,44.8776679477,0.2405703113
0.0284,0.0284,9.1398239962,14.3517301385,0.4290978163
0.0284,0.0284,26.4898811014,4.3918002102,1865.8585296075
0.0284,0.0284,27.5818679171,2.15637277,5.7801198118
0.0284,0.0284,7.689418427,9.2271575881,1.5847197021
0.0284,0.0284,4.6140914615,10.5445361311,1063.4002990703
0.0284,0.0284,47.4082211793,1.4624350048,261.3897449786
0.0284,0.0284,28.5586605956,48.7716234697,0.3745402879
0.0284,0.0284,3.5021553436,1.1678442829,2.1742296177
0.0284,0.0284,1.4112007177,2.8986810899,5.7364932497
0.0284,0.0284,85.1566746361,15.1273029872,3.7238131417
0.0284,0.0284,3.4685369204,50.3705682655,2453.050348844
0.0284,0.0284,12.0594956539,40.154306382,0.9069239173
0.0284,0.0284,240.2417827211,22.6676594462,1.6357345475
0.0284,0.0284,29.6174119606,12.0925745149,196.2697208525
0.0284,0.0284,3.4129471063,9.8039350225,1.8884380531
0.0284,0.0284,0.8239968904,26.5614813835,14.3068119857
0.0284,0.0284,89.0903044135,3.9614559895,1035.0943754985
0.0284,0.0284,14.1854494915,1.2723454742,0.5293137589
0.0284,0.0284,2.6957798225,3.5441594988,1.9135113608
0.0284,0.0284,64.2323379253,6.358657596,1.5914037794
0.0284,0.0284,0.6482008147,6.1404717751,230.0652501234
0.0284,0.0284,9.9592297928,4.0819564888,16.6768569299
0.0284,0.0284,146.3996178005,1.414535748,39.4557698418
0.0284,0.0284,3.7299433213,9.7439399331,34.3457642903
0.0284,0.0284,1.2940877197,45.9512782999,160.8002490329
0.0284,0.0284,2.2457911089,6.5309156038,1.2891555774
0.0284,0.0284,37.0829760325,18.2198582512,0.1905361767
0.0284,0.0284,1.001300352,32.2126714283,261.7468172955
0.0284,0.0284,0.512910679,6.0622878322,732.8407124883
0.0284,0.0284,23.5439152761,6.9825452102,128.7963205088
0.0284,0.0284,2.2724238225,5.355826495,0.4383840246
0.0284,0.0284,157.1513577008,16.5770246412,39.0187564865
0.0284,0.0284,18.5064295643,19.7454118139,37.9236869521
0.0284,0.0284,30.7719850159,2.4922265536,1.6296137013
0.0284,0.0284,63.6638981297,3.0234619686,1.2988761218
0.0284,0.0284,1.1242886401,1.3482682771,2024.352015038
0.0284,0.0284,179.8962007207,1.1029196163,389.2738996129
0.0284,0.0284,58.6283864544,1.2495196267,0.6242959365
0.0284,0.0284,233.549761984,15.0318829171,27.3878810679
0.0284,0.0284,99.4894514657,7.6954911633,5.1377566568
0.0284,0.0284,11.6227606318,8.3183029212,30.1205443699
0.0284,0.0284,223.8130224004,4.4390292003,25.0828054911
0.0284,0.0284,98.5599499877,4.2598776395,2.5914643673
0.0284,0.0284,4.5491249806,45.8319319939,1.2380646616
0.0284,0.0284,228.7027313532,3.2923040818,1671.2767088998
0.0284,0.0284,10.4879088977,12.4408772388,36.7152394929
0.0284,0.0284,76.6038248928,1.0952953709,3.4875612228
0.0284,0.0284,2.90752539,2.8093819783,62.8949910305
0.0284,0.0284,0.5403946959,17.4235863962,2289.0176518045
0.0284,0.0284,11.1442155384,36.0326902793,2.6342416726
0.0284,0.0284,1.8603435316,6.6168673402,2.6126217459
0.0284,0.0284,132.1400990361,31.4514756057,1400.3803804037
0.0284,0.0284,22.0489664501,14.3738322627,246.9902062592
0.0284,0.0284,3.8636923567,33.4489737051,404.856427514
0.0284,0.0284,155.3852662843,42.6606946908,1162.2478785886
0.0284,0.0284,190.8777987198,8.6307904933,31.3622760426
0.0284,0.0284,8.2840982724,41.0309127584,3.0577784889
0.0284,0.0284,258.1869236991,3.3408220935,97.5686734952
0.0284,0.0284,1.1610335542,1.3735630198,119.1745267055
0.0284,0.0284,0.7578585215,43.1781750473,35.4849224919
0.0284,0.0284,67.2288420624,24.1724157023,0.6995221769
0.0284,0.0284,0.5702971632,3.2344100129,73.6044273653
0.0284,0.0284,3.6613914571,1.0938490367,14.1304056702
0.0284,0.0284,2.38948777,5.2638074426,3.0536806285
0.0284,0.0284,30.7989555017,5.6469082248,0.1103761126
0.0284,0.0284,58.8617632725,1.7247123142,6.579111043
0.0284,0.0284,1.0204755785,2.394334757,323.095017777
0.0284,0.0284,52.438386081,48.531959309,17.1349971181
0.0284,0.0284,10.7634354697,17.9937668384,306.4807599676
0.0284,0.0284,260.8817730565,4.3818330625,379.6815054393
0.0284,0.0284,7.2079946693,15.9325205254,39.939053917
0.0284,0.0284,4.4272803152,6.3221941298,4.0442597581
0.0284,0.0284,6.844546816,8.2233441108,0.6320299113
0.0284,0.0284,242.8939381424,1.4707964723,5.0126764897
0.0284,0.0284,20.5121086354,41.1099890168,1.304297936
0.0284,0.0284,136.4292148339,3.8809673329,1.8831796213
0.0284,0.0284,1.5226089085,16.8206347662,188.9666309572
0.0284,0.0284,5.3913083339,13.5706624752,53.8262769283
0.0284,0.0284,38.2706345003,1.7784126328,1228.6419187855
0.0284,0.0284,0.6068267141,18.2857473125,164.7138459119
0.0284,0.0284,0.5659981531,5.4355314077,1.1741267141
0.0284,0.0284,64.9958462728,18.5553683836,1.751063089
0.0284,0.0284,289.3762723354,2.5052386523,534.7960624507
0.0284,0.0284,0.6917088068,14.7924324647,1947.8988272366
0.0284,0.0284,164.2490556008,2.2145287639,15.9253660665
0.0284,0.0284,45.531157051,18.3482472948,826.2542071673
0.0284,0.0284,6.4815969503,2.8302545975,1543.9974728325
0.0284,0.0284,252.3898099853,13.8622021589,0.2888795678
