initial_z,Zbase,m1,m2,initial_period_in_days
0.00639,0.00639,7.8600317696,10.7709318445,396.366022822
0.00639,0.00639,9.2597767848,1.120132407,22.2481183382
0.00639,0.00639,22.2493116977,1.7966723796,0.7312911919
0.00639,0.00639,272.0388212187,3.2311555178,104.8645342512
0.00639,0.00639,230.5849453639,1.5287888268,34.2608389288
0.00639,0.00639,4.7376262372,7.4655557364,486.0651832724
0.00639,0.00639,121.6952788842,20.2282545035,50.3562843708
0.00639,0.00639,3.054503369,3.0983161554,0.1067331255
0.00639,0.00639,42.0577409782,2.4995816722,0.2872938629
0.00639,0.00639,10.464473534,6.8582954252,691.5092810172
0.00639,0.00639,1.3641882549,6.21722926,4.6035657677
0.00639,0.00639,125.2901579096,1.3034490546,7.7373867166
0.00639,0.00639,5.0155796684,24.1721179834,296.5503423578
0.00639,0.00639,24.5215461864,45.4017900419,1176.265702196
0.00639,0.00639,1.0166457694,2.9020263401,686.7833728477
0.00639,0.00639,1.5135201474,2.6022489466,21.7172304907
0.00639,0.00639,32.6774787168,3.533693491,2602.3655929094
0.00639,0.00639,1.1593397497,42.6775229334,56.2369407525
0.00639,0.00639,10.5998680156,14.4974702403,1294.4964553334
0.00639,0.00639,8.1074798679,6.4935198994,2.4062720221
0.00639,0.00639,152.6814718701,31.4162537561,146.7362750694
0.00639,0.00639,231.3085482101,5.0788136556,0.4480701974
0.00639,0.00639,100.5204416439,2.7522148078,9.7454822743
0.00639,0.00639,27.0226299159,40.436325185,619.8424931378
0.00639,0.00639,68.7848001421,26.0794432214,168.8631621113
0.00639,0.00639,49.0665415142,2.5944410635,1.0195488077
0.00639,0.00639,1.1564989391,11.8506863837,217.790955311
0.00639,0.00639,101.786620705,17.1147733848,0.768536636
0.00639,0.00639,316.2099664908,49.3867817496,4.7118683098
0.00639,0.00639,70.1439972088,11.3074140564,17.1582079834
0.00639,0.00639,12.090510856,8.0446677792,0.1466352328
0.00639,0.00639,10.1224531508,1.0707927255,19.03553934
0.00639,0.00639,8.6949171829,22.6118247523,12.8975915164
0.00639,0.00639,288.0568959479,5.612623451,9.9691499715
0.00639,0.00639,4.9037087379,1.7512911127,0.114370747
0.00639,0.00639,2.9898455533,3.1713810882,15.1467105005
0.00639,0.00639,43.3388356504,16.5547572407,739.4562481859
0.00639,0.00639,28.7935751925,16.7500748537,0.1360472785
0.00639,0.00639,0.6729069232,7.3757250103,318.2229404009
0.00639,0.00639,22.1595867154,5.291234556,0.8752659269
0.00639,0.00639,4.1916476561,32.3665804435,1643.8072418127
0.00639,0.00639,5.1820941736,3.3250020037,2.3245245142
0.00639,0.00639,35.7349460373,16.1030642246,8.9363748893
0.00639,0.00639,1.3581938185,1.4455561577,0.2065634556
0.00639,0.00639,3.1506059567,4.5440107053,423.7075914405
0.00639,0.00639,0.5201517829,39.8592667073,382.3854466903
0.00639,0.00639,66.085794146,33.0444430614,21.7004913221
0.00639,0.00639,209.3822820939,1.6817774739,0.2337085295
0.00639,0.00639,266.4038170051,35.9883983825,0.1937181369
0.00639,0.00639,112.6480804079,1.5532571805,46.611054372
0.00639,0.00639,96.1631181961,1.4847632943,14.5446384249
0.00639,0.00639,124.030047623,5.3458467251,474.71674688
0.00639,0.00639,275.8252085885,22.2571874415,10.3273463546
0.00639,0.00639,1.2467517698,30.2942389017,0.220224977
0.00639,0.00639,33.8383386654,1.8944871472,3.5459904357
0.00639,0.00639,20.2393408811,30.3002114376,40.3739133493
0.00639,0.00639,22.9475992077,5.2871828542,33.6136888933
0.00639,0.00639,15.9880698073,15.6516634807,0.4147060335
0.00639,0.00639,133.4700671171,25.6011564199,1.1255717217
0.00639,0.00639,103.3874554191,44.3834865815,0.1005334088
0.00639,0.00639,0.8985507951,6.6382102137,3.389541804
0.00639,0.00639,3.3434811733,1.4931366749,8.2057121878
0.00639,0.00639,275.8027147316,1.1310437372,17.7741880306
0.00639,0.00639,62.811850674,24.1589688221,0.4391305822
0.00639,0.00639,175.9604447214,2.0359960419,2.2338598667
0.00639,0.00639,0.5362015179,5.5173237213,2.4374809578
0.00639,0.00639,134.4778098228,15.1537134634,1.3326847998
0.00639,0.00639,2.4032976224,3.2219614874,85.2911923812
0.00639,0.00639,4.027021844,1.004336835,0.3979140783
0.00639,0.00639,115.2518640407,2.9766224243,171.1328163107
0.00639,0.00639,0.5362602248,22.3525187994,0.1064507478
0.00639,0.00639,113.805359063,1.0682706538,94.9086211105
0.00639,0.00639,7.0979010599,38.1059387683,437.9968697486
