initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.0284,0.0284,0.0284,0.5,1.0,0.02
0.0284,0.0284,0.0284,0.5,1.0,0.0322052406
0.0284,0.0284,0.0284,0.5,1.0,0.0518588759
0.0284,0.0284,0.0284,0.5,1.0,0.0835063787
0.0284,0.0284,0.0284,0.5,1.0,0.1344671507
0.0284,0.0284,0.0284,0.5,1.0,0.2165273468
0.0284,0.0284,0.0284,0.5,1.0,0.3486657644
0.0284,0.0284,0.0284,0.5,1.0,0.5614432408
0.0284,0.0284,0.0284,0.5,1.0,0.9040707313
0.0284,0.0284,0.0284,0.5,1.0,1.4557907688
0.0284,0.0284,0.0284,0.5,1.0,2.3442045951
0.0284,0.0284,0.0284,0.5,1.0,3.7747836443
0.0284,0.0284,0.0284,0.5,1.0,6.0783907646
0.0284,0.0284,0.0284,0.5,1.0,9.787801837
0.0284,0.0284,0.0284,0.5,1.0,15.7609256313
0.0284,0.0284,0.0284,0.5,1.0,25.3792200634
0.0284,0.0284,0.0284,0.5,1.0,40.8671943571
0.0284,0.0284,0.0284,0.5,1.0,65.8068912463
0.0284,0.0284,0.0284,0.5,1.0,105.9663381257
0.0284,0.0284,0.0284,0.5,1.0,170.6335704835
0.0284,0.0284,0.0284,0.5,1.0,274.7647591767
0.0284,0.0284,0.0284,0.5,1.0,442.4432582141
0.0284,0.0284,0.0284,0.5,1.0,712.4495780525
0.0284,0.0284,0.0284,0.5,1.0,1147.2305020897
0.0284,0.0284,0.0284,0.7095422797,1.0,0.02
0.0284,0.0284,0.0284,0.7095422797,1.0,0.0322052406
0.0284,0.0284,0.0284,0.7095422797,1.0,0.0518588759
0.0284,0.0284,0.0284,0.7095422797,1.0,0.0835063787
0.0284,0.0284,0.0284,0.7095422797,1.0,0.1344671507
0.0284,0.0284,0.0284,0.7095422797,1.0,0.2165273468
0.0284,0.0284,0.0284,0.7095422797,1.0,0.3486657644
0.0284,0.0284,0.0284,0.7095422797,1.0,0.5614432408
0.0284,0.0284,0.0284,0.7095422797,1.0,0.9040707313
0.0284,0.0284,0.0284,0.7095422797,1.0,1.4557907688
0.0284,0.0284,0.0284,0.7095422797,1.0,2.3442045951
0.0284,0.0284,0.0284,0.7095422797,1.0,3.7747836443
0.0284,0.0284,0.0284,0.7095422797,1.0,6.0783907646
0.0284,0.0284,0.0284,0.7095422797,1.0,9.787801837
0.0284,0.0284,0.0284,0.7095422797,1.0,15.7609256313
0.0284,0.0284,0.0284,0.7095422797,1.0,25.3792200634
0.0284,0.0284,0.0284,0.7095422797,1.0,40.8671943571
0.0284,0.0284,0.0284,0.7095422797,1.0,65.8068912463
0.0284,0.0284,0.0284,0.7095422797,1.0,105.9663381257
0.0284,0.0284,0.0284,0.7095422797,1.0,170.6335704835
0.0284,0.0284,0.0284,0.7095422797,1.0,274.7647591767
0.0284,0.0284,0.0284,0.7095422797,1.0,442.4432582141
0.0284,0.0284,0.0284,0.7095422797,1.0,712.4495780525
0.0284,0.0284,0.0284,0.7095422797,1.0,1147.2305020897
0.0284,0.0284,0.0284,1.0069004934,1.0,0.02
0.0284,0.0284,0.0284,1.0069004934,1.0,0.0322052406
0.0284,0.0284,0.0284,1.0069004934,1.0,0.0518588759
0.0284,0.0284,0.0284,1.0069004934,1.0,0.0835063787
0.0284,0.0284,0.0284,1.0069004934,1.0,0.1344671507
0.0284,0.0284,0.0284,1.0069004934,1.0,0.2165273468
0.0284,0.0284,0.0284,1.0069004934,1.0,0.3486657644
0.0284,0.0284,0.0284,1.0069004934,1.0,0.5614432408
0.0284,0.0284,0.0284,1.0069004934,1.0,0.9040707313
0.0284,0.0284,0.0284,1.0069004934,1.0,1.4557907688
0.0284,0.0284,0.0284,1.0069004934,1.0,2.3442045951
0.0284,0.0284,0.0284,1.0069004934,1.0,3.7747836443
0.0284,0.0284,0.0284,1.0069004934,1.0,6.0783907646
0.0284,0.0284,0.0284,1.0069004934,1.0,9.787801837
0.0284,0.0284,0.0284,1.0069004934,1.0,15.7609256313
0.0284,0.0284,0.0284,1.0069004934,1.0,25.3792200634
0.0284,0.0284,0.0284,1.0069004934,1.0,40.8671943571
0.0284,0.0284,0.0284,1.0069004934,1.0,65.8068912463
0.0284,0.0284,0.0284,1.0069004934,1.0,105.9663381257
0.0284,0.0284,0.0284,1.0069004934,1.0,170.6335704835
0.0284,0.0284,0.0284,1.0069004934,1.0,274.7647591767
0.0284,0.0284,0.0284,1.0069004934,1.0,442.4432582141
0.0284,0.0284,0.0284,1.0069004934,1.0,712.4495780525
0.0284,0.0284,0.0284,1.0069004934,1.0,1147.2305020897
0.0284,0.0284,0.0284,1.4288769431,1.0,0.02
0.0284,0.0284,0.0284,1.4288769431,1.0,0.0322052406
0.0284,0.0284,0.0284,1.4288769431,1.0,0.0518588759
0.0284,0.0284,0.0284,1.4288769431,1.0,0.0835063787
0.0284,0.0284,0.0284,1.4288769431,1.0,0.1344671507
0.0284,0.0284,0.0284,1.4288769431,1.0,0.2165273468
0.0284,0.0284,0.0284,1.4288769431,1.0,0.3486657644
0.0284,0.0284,0.0284,1.4288769431,1.0,0.5614432408
0.0284,0.0284,0.0284,1.4288769431,1.0,0.9040707313
0.0284,0.0284,0.0284,1.4288769431,1.0,1.4557907688
0.0284,0.0284,0.0284,1.4288769431,1.0,2.3442045951
0.0284,0.0284,0.0284,1.4288769431,1.0,3.7747836443
0.0284,0.0284,0.0284,1.4288769431,1.0,6.0783907646
0.0284,0.0284,0.0284,1.4288769431,1.0,9.787801837
0.0284,0.0284,0.0284,1.4288769431,1.0,15.7609256313
0.0284,0.0284,0.0284,1.4288769431,1.0,25.3792200634
0.0284,0.0284,0.0284,1.4288769431,1.0,40.8671943571
0.0284,0.0284,0.0284,1.4288769431,1.0,65.8068912463
0.0284,0.0284,0.0284,1.4288769431,1.0,105.9663381257
0.0284,0.0284,0.0284,1.4288769431,1.0,170.6335704835
0.0284,0.0284,0.0284,1.4288769431,1.0,274.7647591767
0.0284,0.0284,0.0284,1.4288769431,1.0,442.4432582141
0.0284,0.0284,0.0284,1.4288769431,1.0,712.4495780525
0.0284,0.0284,0.0284,1.4288769431,1.0,1147.2305020897
0.0284,0.0284,0.0284,2.0276972072,1.0,0.02
0.0284,0.0284,0.0284,2.0276972072,1.0,0.0322052406
0.0284,0.0284,0.0284,2.0276972072,1.0,0.0518588759
