initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.0284,0.0284,0.0284,172.4513076286,3.3215062312,0.1663083089
0.0284,0.0284,0.0284,32.6569309142,16.1366567834,4.3725658857
0.0284,0.0284,0.0284,90.5191442175,12.284161798,0.6413353443
0.0284,0.0284,0.0284,116.4048042192,2.5794645853,1.4982110266
0.0284,0.0284,0.0284,88.2555883152,1.3439487761,43.8476805585
0.0284,0.0284,0.0284,13.1093410186,15.4636669154,0.2297560277
0.0284,0.0284,0.0284,59.3817190004,38.0621477103,0.1047045953
0.0284,0.0284,0.0284,18.8312479687,4.307335061,211.2509745506
0.0284,0.0284,0.0284,0.6849403745,26.971589706,43.7126322618
0.0284,0.0284,0.0284,54.4986061476,31.2309870582,0.1603055111
0.0284,0.0284,0.0284,22.8176628358,16.9277305149,50.9189793602
0.0284,0.0284,0.0284,150.1430673558,16.1864619309,240.5246147233
0.0284,0.0284,0.0284,1.0168125028,8.1368273264,0.7652383042
0.0284,0.0284,0.0284,0.5345058813,2.6191144583,0.0564665014
0.0284,0.0284,0.0284,31.109712594,1.8343125497,23.4400207031
0.0284,0.0284,0.0284,6.2745985085,4.8648897514,0.9186092467
0.0284,0.0284,0.0284,41.9286103424,30.3114718683,1.2925543181
0.0284,0.0284,0.0284,181.3411978777,1.0404539982,12.5069558791
0.0284,0.0284,0.0284,22.0720458344,8.6145444368,31.6792452334
0.0284,0.0284,0.0284,13.4519141647,1.0790247054,1038.4992624091
0.0284,0.0284,0.0284,154.6928715905,1.0292382648,0.0653881125
0.0284,0.0284,0.0284,49.8135256578,12.4903218346,0.12216412
0.0284,0.0284,0.0284,9.7380609403,10.2356778759,0.8182782525
0.0284,0.0284,0.0284,27.6719422595,1.4269603135,0.2825461234
0.0284,0.0284,0.0284,155.2155512519,1.3565418444,1028.0663646383
0.0284,0.0284,0.0284,148.7507650048,10.5846782837,99.6437516289
0.0284,0.0284,0.0284,2.0469706475,2.3788527274,47.2865085294
0.0284,0.0284,0.0284,5.3477387502,36.8017004316,82.422255271
0.0284,0.0284,0.0284,20.2207178607,27.0317240768,1.4808635619
0.0284,0.0284,0.0284,180.2774203664,2.3910756343,1029.7379058404
0.0284,0.0284,0.0284,48.2547386112,3.6031965116,14.4681803686
0.0284,0.0284,0.0284,43.3560685237,34.5960418372,240.0225882284
0.0284,0.0284,0.0284,87.0985930429,6.6839523294,3.0935356298
0.0284,0.0284,0.0284,0.6987594518,10.3619582405,27.4910964199
0.0284,0.0284,0.0284,0.742780695,6.2953871998,0.2377961381
0.0284,0.0284,0.0284,88.8411437962,1.0032219797,0.8953223568
0.0284,0.0284,0.0284,138.6930865905,1.2352458652,3.4790390765
0.0284,0.0284,0.0284,0.8391654289,40.9335150716,3.8378423441
0.0284,0.0284,0.0284,166.4880428974,16.6383723035,7.8043786707
0.0284,0.0284,0.0284,36.0716514396,2.4530763546,1043.561505084
0.0284,0.0284,0.0284,2.5377430784,24.701064709,1.3109845762
0.0284,0.0284,0.0284,14.3997433137,6.4770212041,11.9214589149
0.0284,0.0284,0.0284,38.2487371905,1.6507290125,3.0776772806
0.0284,0.0284,0.0284,1.0489971984,4.006002037,0.0340181016
0.0284,0.0284,0.0284,56.0169458383,3.8255827339,0.0450800005
0.0284,0.0284,0.0284,22.0018129151,23.2920550012,8.7540488027
0.0284,0.0284,0.0284,3.8277123521,1.8014043533,2.1387323472
0.0284,0.0284,0.0284,0.8234707045,38.9763422924,0.2622628693
0.0284,0.0284,0.0284,4.5169326527,6.9843133649,0.0499972934
0.0284,0.0284,0.0284,19.1229883183,1.3291578624,2.9302864136
0.0284,0.0284,0.0284,15.0769642023,8.5174660748,0.1273840882
0.0284,0.0284,0.0284,2.8856542678,13.0239158389,294.6707165124
0.0284,0.0284,0.0284,102.3720696744,1.4256908376,1.9966401789
0.0284,0.0284,0.0284,2.3120731516,33.0115435453,0.7962898249
0.0284,0.0284,0.0284,3.9576435306,18.8031278985,441.8622724081
0.0284,0.0284,0.0284,127.5956724355,11.4823263675,564.1341567094
0.0284,0.0284,0.0284,0.6869585635,3.5726646188,116.7482668426
0.0284,0.0284,0.0284,9.4956064422,18.4155281011,81.2809450368
0.0284,0.0284,0.0284,51.7796411512,5.2384028656,0.8802331621
0.0284,0.0284,0.0284,51.7919885613,1.5797078581,0.0251609881
