initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.00284,0.00284,0.00284,0.5,1.0,0.02
0.00284,0.00284,0.00284,0.5,1.0,0.0253792201
0.00284,0.00284,0.00284,0.5,1.0,0.0322052406
0.00284,0.00284,0.00284,0.5,1.0,0.0408671944
0.00284,0.00284,0.00284,0.5,1.0,0.0518588759
0.00284,0.00284,0.00284,0.5,1.0,0.0658068912
0.00284,0.00284,0.00284,0.5,1.0,0.0835063787
0.00284,0.00284,0.00284,0.5,1.0,0.1059663381
0.00284,0.00284,0.00284,0.5,1.0,0.1344671507
0.00284,0.00284,0.00284,0.5,1.0,0.1706335705
0.00284,0.00284,0.00284,0.5,1.0,0.2165273468
0.00284,0.00284,0.00284,0.5,1.0,0.2747647592
0.00284,0.00284,0.00284,0.5,1.0,0.3486657644
0.00284,0.00284,0.00284,0.5,1.0,0.4424432582
0.00284,0.00284,0.00284,0.5,1.0,0.5614432408
0.00284,0.00284,0.00284,0.5,1.0,0.7124495781
0.00284,0.00284,0.00284,0.5,1.0,0.9040707313
0.00284,0.00284,0.00284,0.5,1.0,1.1472305021
0.00284,0.00284,0.00284,0.5,1.0,1.4557907688
0.00284,0.00284,0.00284,0.5,1.0,1.8473417144
0.00284,0.00284,0.00284,0.5,1.0,2.3442045951
0.00284,0.00284,0.00284,0.5,1.0,2.9747042146
0.00284,0.00284,0.00284,0.5,1.0,3.7747836443
0.00284,0.00284,0.00284,0.5,1.0,4.79005324
0.00284,0.00284,0.00284,0.5,1.0,6.0783907646
0.00284,0.00284,0.00284,0.5,1.0,7.7132408423
0.00284,0.00284,0.00284,0.5,1.0,9.787801837
0.00284,0.00284,0.00284,0.5,1.0,12.4203388378
0.00284,0.00284,0.00284,0.5,1.0,15.7609256313
0.00284,0.00284,0.00284,0.5,1.0,20.0
0.00284,0.00284,0.00284,0.5,1.0,25.3792200634
0.00284,0.00284,0.00284,0.5,1.0,32.2052405512
0.00284,0.00284,0.00284,0.5,1.0,40.8671943571
0.00284,0.00284,0.00284,0.5,1.0,51.8588759481
0.00284,0.00284,0.00284,0.5,1.0,65.8068912463
0.00284,0.00284,0.00284,0.5,1.0,83.5063787312
0.00284,0.00284,0.00284,0.5,1.0,105.9663381257
0.00284,0.00284,0.00284,0.5,1.0,134.46715073
0.00284,0.00284,0.00284,0.5,1.0,170.6335704835
0.00284,0.00284,0.00284,0.5,1.0,216.5273467748
0.00284,0.00284,0.00284,0.5,1.0,274.7647591767
0.00284,0.00284,0.00284,0.5,1.0,348.66576444
0.00284,0.00284,0.00284,0.5,1.0,442.4432582141
0.00284,0.00284,0.00284,0.5,1.0,561.4432407882
0.00284,0.00284,0.00284,0.5,1.0,712.4495780525
0.00284,0.00284,0.00284,0.5,1.0,904.070731272
0.00284,0.00284,0.00284,0.5,1.0,1147.2305020897
0.00284,0.00284,0.00284,0.5956266783,1.0,0.02
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0253792201
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0322052406
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0408671944
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0518588759
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0658068912
0.00284,0.00284,0.00284,0.5956266783,1.0,0.0835063787
0.00284,0.00284,0.00284,0.5956266783,1.0,0.1059663381
0.00284,0.00284,0.00284,0.5956266783,1.0,0.1344671507
0.00284,0.00284,0.00284,0.5956266783,1.0,0.1706335705
0.00284,0.00284,0.00284,0.5956266783,1.0,0.2165273468
0.00284,0.00284,0.00284,0.5956266783,1.0,0.2747647592
0.00284,0.00284,0.00284,0.5956266783,1.0,0.3486657644
0.00284,0.00284,0.00284,0.5956266783,1.0,0.4424432582
0.00284,0.00284,0.00284,0.5956266783,1.0,0.5614432408
0.00284,0.00284,0.00284,0.5956266783,1.0,0.7124495781
0.00284,0.00284,0.00284,0.5956266783,1.0,0.9040707313
0.00284,0.00284,0.00284,0.5956266783,1.0,1.1472305021
0.00284,0.00284,0.00284,0.5956266783,1.0,1.4557907688
0.00284,0.00284,0.00284,0.5956266783,1.0,1.8473417144
0.00284,0.00284,0.00284,0.5956266783,1.0,2.3442045951
0.00284,0.00284,0.00284,0.5956266783,1.0,2.9747042146
0.00284,0.00284,0.00284,0.5956266783,1.0,3.7747836443
0.00284,0.00284,0.00284,0.5956266783,1.0,4.79005324
0.00284,0.00284,0.00284,0.5956266783,1.0,6.0783907646
0.00284,0.00284,0.00284,0.5956266783,1.0,7.7132408423
0.00284,0.00284,0.00284,0.5956266783,1.0,9.787801837
0.00284,0.00284,0.00284,0.5956266783,1.0,12.4203388378
