initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.00284,0.00284,0.00284,19.1915734024,38.7198065355,10.2679862993
0.00284,0.00284,0.00284,1.9774850569,14.3676024222,924.3115596509
0.00284,0.00284,0.00284,1.4612136131,24.0252004222,6.3369891024
0.00284,0.00284,0.00284,1.3954529919,1.9437493056,0.2041195823
0.00284,0.00284,0.00284,18.7541916193,1.4154406345,365.4752924397
0.00284,0.00284,0.00284,0.9564237827,1.051459215,80.2037376545
0.00284,0.00284,0.00284,118.3205478126,6.4541053413,154.4955450273
0.00284,0.00284,0.00284,22.7850219236,14.2361467077,4.4411883058
0.00284,0.00284,0.00284,24.3885761596,3.1365439027,0.588454736
0.00284,0.00284,0.00284,2.4769660902,13.1256097987,2.9459518795
0.00284,0.00284,0.00284,82.5475697756,2.8260649504,0.8431822654
0.00284,0.00284,0.00284,4.3959912353,1.0768830054,12.4623657689
0.00284,0.00284,0.00284,0.8959638981,27.8290315067,0.120524643
0.00284,0.00284,0.00284,2.9338091175,1.2672984353,0.2217775759
0.00284,0.00284,0.00284,24.4949713893,35.3140427511,615.159393921
0.00284,0.00284,0.00284,3.572828094,31.4562040186,15.0088249081
0.00284,0.00284,0.00284,16.2788982034,20.2452196081,11.0421818693
0.00284,0.00284,0.00284,22.6163516902,23.720316334,0.3226056169
0.00284,0.00284,0.00284,4.6003889653,7.1465198573,102.1340801584
0.00284,0.00284,0.00284,87.3214582845,1.4606933157,0.8269709574
0.00284,0.00284,0.00284,10.4362403791,32.6973092576,0.3457881389
0.00284,0.00284,0.00284,19.0684460921,47.5218920238,0.0217307868
0.00284,0.00284,0.00284,3.5375831583,4.2908873754,0.0391848581
0.00284,0.00284,0.00284,47.8208116669,26.7022050438,1.5918407362
0.00284,0.00284,0.00284,69.3732387021,16.6541737145,0.5273010463
0.00284,0.00284,0.00284,1.2148475365,21.2844231325,3.0667179198
0.00284,0.00284,0.00284,3.0164597546,20.4048413508,0.0726399748
0.00284,0.00284,0.00284,111.7024819764,44.0411085715,97.0636718862
0.00284,0.00284,0.00284,16.0320552138,2.4575622967,0.4711458815
0.00284,0.00284,0.00284,1.0020984717,4.5429640177,1.6378600372
0.00284,0.00284,0.00284,24.5882507072,11.5155132756,2.3677038018
0.00284,0.00284,0.00284,83.6820866329,6.6752528407,211.5369470019
0.00284,0.00284,0.00284,7.8164666126,2.0715847801,0.124138156
0.00284,0.00284,0.00284,0.6532894873,2.4309532972,13.2171794286
0.00284,0.00284,0.00284,17.0312712202,2.2284433927,27.1416641478
0.00284,0.00284,0.00284,2.7961333942,31.8298824486,9.3145998761
0.00284,0.00284,0.00284,5.559020156,15.7569405913,49.2048691809
0.00284,0.00284,0.00284,58.9050223923,7.4112332025,0.1916030045
0.00284,0.00284,0.00284,188.9417693162,8.9819401159,47.5838093872
0.00284,0.00284,0.00284,0.9838229315,20.8915892612,0.0831463234
0.00284,0.00284,0.00284,6.3555684755,9.8131245377,3.1623095036
0.00284,0.00284,0.00284,19.8010284317,1.9954810159,922.1024188322
0.00284,0.00284,0.00284,3.2275919437,1.285957836,6.6923251088
0.00284,0.00284,0.00284,0.6981352303,50.2288320667,26.3096355072
0.00284,0.00284,0.00284,0.8152812087,4.2256470331,0.0650127347
0.00284,0.00284,0.00284,0.5810893153,14.2758735865,88.7339477092
0.00284,0.00284,0.00284,165.6801257178,2.714697762,0.5871231531
0.00284,0.00284,0.00284,11.7209326848,16.348103823,4.9788496204
0.00284,0.00284,0.00284,12.4099589553,19.1749730741,248.7465374572
0.00284,0.00284,0.00284,27.6669673947,20.9731815504,0.7160592781
0.00284,0.00284,0.00284,34.0097465038,3.5871215409,0.0806764967
0.00284,0.00284,0.00284,1.0980894402,1.3831115192,0.0373948174
0.00284,0.00284,0.00284,9.4976771274,27.2912473122,955.6304369145
0.00284,0.00284,0.00284,1.1659351322,4.0217819027,4.296046446
0.00284,0.00284,0.00284,43.7203455395,51.3222353781,0.8004316606
0.00284,0.00284,0.00284,163.3356768939,8.7022368083,484.4180610924
0.00284,0.00284,0.00284,152.3540165873,30.0769956454,0.6143665803
0.00284,0.00284,0.00284,174.8294449593,1.9621913173,67.115895292
0.00284,0.00284,0.00284,27.6160507247,5.1244273772,5.8207755296
0.00284,0.00284,0.00284,12.6288813239,49.3842916524,233.8013262527
0.00284,0.00284,0.00284,63.081249264,2.2149862358,0.0964719596
0.00284,0.00284,0.00284,20.9517717129,3.6524636903,0.1367057148
0.00284,0.00284,0.00284,2.5914658044,5.5103524683,238.0864164657
0.00284,0.00284,0.00284,119.9204781386,1.3757680165,9.9849500411
0.00284,0.00284,0.00284,78.9291394924,1.0077019534,52.1522046655
0.00284,0.00284,0.00284,184.4709418937,1.6886383778,16.9299856192
0.00284,0.00284,0.00284,14.4110707805,3.7036619549,7.6792482486
0.00284,0.00284,0.00284,2.4029615997,13.9749757191,95.0674032662
0.00284,0.00284,0.00284,13.709869379,2.9834373247,1.6343079797
0.00284,0.00284,0.00284,154.1774160778,4.5019969166,580.1572762847
0.00284,0.00284,0.00284,65.9378559405,1.0130891805,4.1287535462
0.00284,0.00284,0.00284,2.7937084759,1.2228603291,0.2739792665
0.00284,0.00284,0.00284,0.8200794306,4.8955670676,95.9727996682
0.00284,0.00284,0.00284,50.6704808,12.3139889662,5.3073368644
0.00284,0.00284,0.00284,3.9606850824,5.2482456283,947.4551696711
0.00284,0.00284,0.00284,11.0093277173,4.1716012886,259.5345807767
0.00284,0.00284,0.00284,7.5878390913,3.3519867393,528.6212725282
0.00284,0.00284,0.00284,166.1758053292,10.3624375243,0.4279417809
0.00284,0.00284,0.00284,17.7903753919,25.9816210977,259.6018177394
0.00284,0.00284,0.00284,84.0898480251,14.3216860101,219.7604274355
0.00284,0.00284,0.00284,28.4856729511,1.485799032,15.0913690397
0.00284,0.00284,0.00284,1.7556145283,4.3839158797,0.1571582427
0.00284,0.00284,0.00284,3.3736583476,8.447302343,32.9713391727
0.00284,0.00284,0.00284,0.637973013,1.0680911991,298.7133465521
0.00284,0.00284,0.00284,163.8874014736,4.3126287484,13.2088139164
0.00284,0.00284,0.00284,45.9453863493,6.5589668754,1.1748925187
0.00284,0.00284,0.00284,56.8515795364,1.4290525478,0.1910029456
0.00284,0.00284,0.00284,15.248880203,1.992605509,254.1851234084
0.00284,0.00284,0.00284,85.6270059288,2.3919358868,2.283681404
0.00284,0.00284,0.00284,46.5436020274,5.0118973719,0.1195176836
0.00284,0.00284,0.00284,0.6680135677,3.0041212624,45.0781794741
0.00284,0.00284,0.00284,10.2969056169,7.3672821802,0.0208634638
0.00284,0.00284,0.00284,13.8453690389,12.811395546,33.054691483
0.00284,0.00284,0.00284,48.8217060784,7.1621978106,0.5135970464
0.00284,0.00284,0.00284,1.383662895,32.7076360575,0.8561683678
0.00284,0.00284,0.00284,1.7813861851,17.5139948791,217.4451793335
0.00284,0.00284,0.00284,3.0183385091,45.8123400142,0.8054154324
0.00284,0.00284,0.00284,1.3846503448,25.428608992,483.7537759424
0.00284,0.00284,0.00284,0.5058968559,20.4280163841,384.0072208691
0.00284,0.00284,0.00284,173.4907399759,7.4462681706,7.6318360356
0.00284,0.00284,0.00284,9.9241915908,8.701849236,37.9745231911
0.00284,0.00284,0.00284,182.9658785009,4.1154174352,188.2081997467
