initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.00639,0.00639,0.00639,51.8302484963,33.0141866945,46.5458396395
0.00639,0.00639,0.00639,15.9393346601,11.3568219823,0.2070864543
0.00639,0.00639,0.00639,11.4110195386,14.3178658563,74.0773523571
0.00639,0.00639,0.00639,163.0573592639,4.9270728553,15.9238513672
0.00639,0.00639,0.00639,36.7811320285,39.2327835394,66.3788449308
0.00639,0.00639,0.00639,6.7420410124,22.1675272398,1.2578060764
0.00639,0.00639,0.00639,3.735151031,1.6503122349,153.4019591587
0.00639,0.00639,0.00639,43.761320134,35.1691488406,305.4614145865
0.00639,0.00639,0.00639,0.6471633334,41.7947125222,236.8510586148
0.00639,0.00639,0.00639,137.8355735158,1.9185798751,29.796294651
0.00639,0.00639,0.00639,15.4095137944,5.3366537888,49.3342586531
0.00639,0.00639,0.00639,24.8103211983,15.902325303,28.4180985041
0.00639,0.00639,0.00639,2.381120964,27.6227371483,1.1784650159
0.00639,0.00639,0.00639,5.3844581247,3.8870566271,0.3785049946
0.00639,0.00639,0.00639,1.0143150164,6.8529298295,0.0203719455
0.00639,0.00639,0.00639,106.3117155243,3.4707217222,969.8960952747
0.00639,0.00639,0.00639,81.6207202103,12.3505407053,0.1222803358
0.00639,0.00639,0.00639,5.1487395373,22.1246497871,98.4354280658
0.00639,0.00639,0.00639,23.839652293,3.5048752968,0.0361466295
0.00639,0.00639,0.00639,31.4779405723,3.878669152,4.126647493
0.00639,0.00639,0.00639,12.8393672898,29.1917413159,113.9281369049
0.00639,0.00639,0.00639,1.6558037856,18.3218625944,22.7829990082
0.00639,0.00639,0.00639,5.4901579082,7.390699921,83.5951530333
0.00639,0.00639,0.00639,0.8403734402,23.3845552286,0.1171316988
0.00639,0.00639,0.00639,1.7710443418,4.1305779576,1.6365732871
0.00639,0.00639,0.00639,3.5268579291,21.2538380944,15.6686877286
0.00639,0.00639,0.00639,0.7804301421,1.0296472072,87.5760066781
0.00639,0.00639,0.00639,14.701110568,10.5441095092,17.6025368879
0.00639,0.00639,0.00639,17.5488664596,8.1201905001,471.6029270779
0.00639,0.00639,0.00639,6.4030222994,1.9119238981,661.0468992839
0.00639,0.00639,0.00639,110.1923117649,3.8445749683,1.1878453447
0.00639,0.00639,0.00639,106.976679402,1.9727573134,2.3010346496
0.00639,0.00639,0.00639,0.5796819664,3.965260503,221.2290567942
0.00639,0.00639,0.00639,5.3447678958,2.2213478489,7.1462996335
