initial_z,Zbase,m1,m2,initial_period_in_days
0.0142,0.0142,53.2674487315,10.709563018,5.9138151679
0.0142,0.0142,26.9700333242,9.3995831347,3300.313258467
0.0142,0.0142,44.8193857819,33.515593749,0.3724973648
0.0142,0.0142,40.0110950962,38.9049130377,13.7255431829
0.0142,0.0142,249.7974914722,192.0106308604,0.4658503496
0.0142,0.0142,5.6448371768,2.4859872412,2171.542765322
0.0142,0.0142,33.0958376183,31.89083309,1408.658917458
0.0142,0.0142,60.944150727,31.2372183255,1657.2232584869
0.0142,0.0142,125.4538714237,14.7760550486,1.8736171371
0.0142,0.0142,8.9897181065,4.6583654347,633.9148505469
0.0142,0.0142,60.5838548398,17.3121113656,13.0016137118
0.0142,0.0142,30.5871865112,18.7317486905,860.2917596044
0.0142,0.0142,25.0902443904,5.8457984716,254.7136419584
0.0142,0.0142,109.9742598729,78.1020155548,1.5073766695
0.0142,0.0142,11.68837242,6.0346135807,5985.352964939
0.0142,0.0142,7.7603228627,3.5588232504,44.5920150415
0.0142,0.0142,66.6358666394,44.3637581528,1289.0626130933
0.0142,0.0142,118.9400519034,86.4525578305,7.4277045531
0.0142,0.0142,23.0012203551,10.4770313886,156.8979879053
0.0142,0.0142,58.477293107,44.827738341,2392.8604208392
0.0142,0.0142,16.1365537107,7.2756687256,71.2679967513
0.0142,0.0142,12.9303490368,9.1954988253,135.5304251654
0.0142,0.0142,5.8925679643,3.7928902696,458.4714996938
0.0142,0.0142,127.0894689844,114.1140053717,960.6954243313
0.0142,0.0142,12.5661899027,11.0066447348,0.1274860347
0.0142,0.0142,132.5552554673,51.2894507368,1.0895902293
0.0142,0.0142,72.4632578467,36.928408713,11.2525534747
0.0142,0.0142,38.9346214149,14.0602538136,1.9773339733
0.0142,0.0142,12.952575247,2.0836740117,995.7789727128
0.0142,0.0142,104.9776975679,58.9657674004,2853.9125536736
0.0142,0.0142,212.9726169381,40.4374052106,0.46521498
0.0142,0.0142,69.5077986698,63.1851257843,0.1079324075
0.0142,0.0142,16.1877539353,14.4767817297,0.2936101421
0.0142,0.0142,12.8993824164,3.3623247075,31.8344805123
0.0142,0.0142,19.7901081372,6.5455390441,782.7479650026
0.0142,0.0142,202.0747122087,114.1263243105,614.3335536772
0.0142,0.0142,45.8775272855,27.1655485219,0.3650029008
0.0142,0.0142,13.0156216673,11.2651878875,1.5068640709
0.0142,0.0142,18.106302308,4.3273434673,0.4844938837
0.0142,0.0142,155.8303089506,109.5358029022,2.3416977823
