initial_z,Zbase,m1,m2,initial_period_in_days
0.0142,0.0142,0.1240852769,0.1178810131,111.0336318168
0.0142,0.0142,0.1240852769,0.1178810131,155.0515779833
0.0142,0.0142,0.1240852769,0.1178810131,216.5199088036
0.0142,0.0142,0.1240852769,0.1178810131,302.3566191205
0.0142,0.0142,0.1240852769,0.1178810131,422.2222595195
0.0142,0.0142,0.1240852769,0.1178810131,589.6071895242
0.0142,0.0142,0.1240852769,0.1178810131,823.3498592289
0.0142,0.0142,0.1240852769,0.1178810131,1149.7569953977
0.0142,0.0142,0.1240852769,0.1178810131,1605.5643098112
0.0142,0.0142,0.1240852769,0.1178810131,2242.0709447806
0.0142,0.0142,0.1240852769,0.1178810131,3130.912969796
0.0142,0.0142,0.1240852769,0.1178810131,4372.1257113904
0.0142,0.0142,0.1240852769,0.1178810131,6105.4022965853
0.0142,0.0142,0.1240852769,0.1228444242,0.1
0.0142,0.0142,0.1240852769,0.1228444242,0.1396437957
0.0142,0.0142,0.1240852769,0.1228444242,0.1950038968
0.0142,0.0142,0.1240852769,0.1228444242,0.2723108433
0.0142,0.0142,0.1240852769,0.1228444242,0.3802651977
0.0142,0.0142,0.1240852769,0.1228444242,0.5310167558
0.0142,0.0142,0.1240852769,0.1228444242,0.7415319537
0.0142,0.0142,0.1240852769,0.1228444242,1.0355033665
0.0142,0.0142,0.1240852769,0.1228444242,1.4460162057
0.0142,0.0142,0.1240852769,0.1228444242,2.0192719162
0.0142,0.0142,0.1240852769,0.1228444242,2.8197879494
0.0142,0.0142,0.1240852769,0.1228444242,3.9376589236
0.0142,0.0142,0.1240852769,0.1228444242,5.498696383
0.0142,0.0142,0.1240852769,0.1228444242,7.6785883437
0.0142,0.0142,0.1240852769,0.1228444242,10.7226722201
0.0142,0.0142,0.1240852769,0.1228444242,14.9735464897
0.0142,0.0142,0.1240852769,0.1228444242,20.9096286705
0.0142,0.0142,0.1240852769,0.1228444242,29.1989991443
0.0142,0.0142,0.1240852769,0.1228444242,40.7745907144
0.0142,0.0142,0.1240852769,0.1228444242,56.9391861586
0.0142,0.0142,0.1240852769,0.1228444242,79.5120407981
0.0142,0.0142,0.1240852769,0.1228444242,111.0336318168
0.0142,0.0142,0.1240852769,0.1228444242,155.0515779833
0.0142,0.0142,0.1240852769,0.1228444242,216.5199088036
0.0142,0.0142,0.1240852769,0.1228444242,302.3566191205
0.0142,0.0142,0.1240852769,0.1228444242,422.2222595195
0.0142,0.0142,0.1240852769,0.1228444242,589.6071895242
