initial_z,Zbase,m1,m2,initial_period_in_days
0.00142,0.00142,0.5620332831,0.4496266264,216.5199088036
0.00142,0.00142,0.5620332831,0.4496266264,302.3566191205
0.00142,0.00142,0.5620332831,0.4496266264,422.2222595195
0.00142,0.00142,0.5620332831,0.4496266264,589.6071895242
0.00142,0.00142,0.5620332831,0.4496266264,823.3498592289
0.00142,0.00142,0.5620332831,0.4496266264,1149.7569953977
0.00142,0.00142,0.5620332831,0.4496266264,1605.5643098112
0.00142,0.00142,0.5620332831,0.4496266264,2242.0709447806
0.00142,0.00142,0.5620332831,0.4496266264,3130.912969796
0.00142,0.00142,0.5620332831,0.4496266264,4372.1257113904
0.00142,0.00142,0.5620332831,0.4496266264,6105.4022965853
0.00142,0.00142,0.5620332831,0.4777282906,0.1
0.00142,0.00142,0.5620332831,0.4777282906,0.1396437957
0.00142,0.00142,0.5620332831,0.4777282906,0.1950038968
0.00142,0.00142,0.5620332831,0.4777282906,0.2723108433
0.00142,0.00142,0.5620332831,0.4777282906,0.3802651977
0.00142,0.00142,0.5620332831,0.4777282906,0.5310167558
0.00142,0.00142,0.5620332831,0.4777282906,0.7415319537
0.00142,0.00142,0.5620332831,0.4777282906,1.0355033665
0.00142,0.00142,0.5620332831,0.4777282906,1.4460162057
0.00142,0.00142,0.5620332831,0.4777282906,2.0192719162
0.00142,0.00142,0.5620332831,0.4777282906,2.8197879494
0.00142,0.00142,0.5620332831,0.4777282906,3.9376589236
0.00142,0.00142,0.5620332831,0.4777282906,5.498696383
0.00142,0.00142,0.5620332831,0.4777282906,7.6785883437
0.00142,0.00142,0.5620332831,0.4777282906,10.7226722201
0.00142,0.00142,0.5620332831,0.4777282906,14.9735464897
0.00142,0.00142,0.5620332831,0.4777282906,20.9096286705
0.00142,0.00142,0.5620332831,0.4777282906,29.1989991443
0.00142,0.00142,0.5620332831,0.4777282906,40.7745907144
0.00142,0.00142,0.5620332831,0.4777282906,56.9391861586
0.00142,0.00142,0.5620332831,0.4777282906,79.5120407981
0.00142,0.00142,0.5620332831,0.4777282906,111.0336318168
0.00142,0.00142,0.5620332831,0.4777282906,155.0515779833
0.00142,0.00142,0.5620332831,0.4777282906,216.5199088036
0.00142,0.00142,0.5620332831,0.4777282906,302.3566191205
0.00142,0.00142,0.5620332831,0.4777282906,422.2222595195
0.00142,0.00142,0.5620332831,0.4777282906,589.6071895242
0.00142,0.00142,0.5620332831,0.4777282906,823.3498592289
0.00142,0.00142,0.5620332831,0.4777282906,1149.7569953977
0.00142,0.00142,0.5620332831,0.4777282906,1605.5643098112
0.00142,0.00142,0.5620332831,0.4777282906,2242.0709447806
0.00142,0.00142,0.5620332831,0.4777282906,3130.912969796
0.00142,0.00142,0.5620332831,0.4777282906,4372.1257113904
0.00142,0.00142,0.5620332831,0.4777282906,6105.4022965853
0.00142,0.00142,0.5620332831,0.5058299548,0.1
0.00142,0.00142,0.5620332831,0.5058299548,0.1396437957
0.00142,0.00142,0.5620332831,0.5058299548,0.1950038968
0.00142,0.00142,0.5620332831,0.5058299548,0.2723108433
0.00142,0.00142,0.5620332831,0.5058299548,0.3802651977
0.00142,0.00142,0.5620332831,0.5058299548,0.5310167558
0.00142,0.00142,0.5620332831,0.5058299548,0.7415319537
0.00142,0.00142,0.5620332831,0.5058299548,1.0355033665
0.00142,0.00142,0.5620332831,0.5058299548,1.4460162057
0.00142,0.00142,0.5620332831,0.5058299548,2.0192719162
0.00142,0.00142,0.5620332831,0.5058299548,2.8197879494
0.00142,0.00142,0.5620332831,0.5058299548,3.9376589236
0.00142,0.00142,0.5620332831,0.5058299548,5.498696383
0.00142,0.00142,0.5620332831,0.5058299548,7.6785883437
0.00142,0.00142,0.5620332831,0.5058299548,10.7226722201
0.00142,0.00142,0.5620332831,0.5058299548,14.9735464897
0.00142,0.00142,0.5620332831,0.5058299548,20.9096286705
0.00142,0.00142,0.5620332831,0.5058299548,29.1989991443
0.00142,0.00142,0.5620332831,0.5058299548,40.7745907144
0.00142,0.00142,0.5620332831,0.5058299548,56.9391861586
0.00142,0.00142,0.5620332831,0.5058299548,79.5120407981
0.00142,0.00142,0.5620332831,0.5058299548,111.0336318168
0.00142,0.00142,0.5620332831,0.5058299548,155.0515779833
0.00142,0.00142,0.5620332831,0.5058299548,216.5199088036
0.00142,0.00142,0.5620332831,0.5058299548,302.3566191205
0.00142,0.00142,0.5620332831,0.5058299548,422.2222595195
0.00142,0.00142,0.5620332831,0.5058299548,589.6071895242
0.00142,0.00142,0.5620332831,0.5058299548,823.3498592289
0.00142,0.00142,0.5620332831,0.5058299548,1149.7569953977
0.00142,0.00142,0.5620332831,0.5058299548,1605.5643098112
0.00142,0.00142,0.5620332831,0.5058299548,2242.0709447806
0.00142,0.00142,0.5620332831,0.5058299548,3130.912969796
0.00142,0.00142,0.5620332831,0.5058299548,4372.1257113904
0.00142,0.00142,0.5620332831,0.5058299548,6105.4022965853
0.00142,0.00142,0.5620332831,0.5339316189,0.1
0.00142,0.00142,0.5620332831,0.5339316189,0.1396437957
0.00142,0.00142,0.5620332831,0.5339316189,0.1950038968
0.00142,0.00142,0.5620332831,0.5339316189,0.2723108433
0.00142,0.00142,0.5620332831,0.5339316189,0.3802651977
0.00142,0.00142,0.5620332831,0.5339316189,0.5310167558
0.00142,0.00142,0.5620332831,0.5339316189,0.7415319537
