initial_z,Zbase,m1,m2,initial_period_in_days
1.42e-06,1.42e-06,115.2576864141,96.2249183438,93.0551446512
1.42e-06,1.42e-06,5.5949694975,4.621639595,97.1691453986
1.42e-06,1.42e-06,64.4092159084,34.414342548,1.3202304425
1.42e-06,1.42e-06,13.9519359769,12.9741052234,16.6386129187
1.42e-06,1.42e-06,22.9510824101,18.3027495375,1.7206778642
1.42e-06,1.42e-06,12.0900280831,5.3887506774,58.9412915752
1.42e-06,1.42e-06,131.2330122889,102.7039265912,4363.0636386753
1.42e-06,1.42e-06,7.8600740108,6.9602882019,112.6926845401
1.42e-06,1.42e-06,52.9037118814,40.9962157698,0.7653840426
1.42e-06,1.42e-06,135.4647862999,35.7895385949,2521.4084091243
1.42e-06,1.42e-06,288.6894857119,155.0830492944,2034.4057331134
1.42e-06,1.42e-06,7.4245913748,1.8858619379,1.0080282921
1.42e-06,1.42e-06,32.1405393767,18.6122971862,693.3883978261
1.42e-06,1.42e-06,9.4287472402,7.3774810098,114.0042820543
1.42e-06,1.42e-06,26.0875670034,22.8690281914,890.9153295638
1.42e-06,1.42e-06,55.7607696364,44.8338559274,3882.125389168
1.42e-06,1.42e-06,78.1766887678,55.2928083416,25.7931635186
1.42e-06,1.42e-06,51.5398835655,48.30647113,3774.6233587857
1.42e-06,1.42e-06,17.7688069014,17.302477636,262.280028646
1.42e-06,1.42e-06,30.1273481532,28.4582269024,58.8566120822
1.42e-06,1.42e-06,166.6263739617,10.1548472093,5211.9043963824
1.42e-06,1.42e-06,10.5516421276,2.8164317189,0.5310016889
1.42e-06,1.42e-06,131.6069212592,124.2770042744,2.7377733283
1.42e-06,1.42e-06,148.4624719771,77.8723336019,122.8696183108
1.42e-06,1.42e-06,6.2979444475,3.2327885334,5.7972945861
1.42e-06,1.42e-06,296.9328325272,280.4099965597,1273.8264798193
1.42e-06,1.42e-06,64.5800462121,17.2736174404,3.6666777919
1.42e-06,1.42e-06,6.2081347802,2.9678389365,3.8468077416
1.42e-06,1.42e-06,33.815044663,28.2040223198,553.9645099361
1.42e-06,1.42e-06,18.1173963642,17.1233741738,90.8092968882
1.42e-06,1.42e-06,28.6467610165,14.0800081027,0.4553897033
1.42e-06,1.42e-06,22.5094921042,2.0650260393,0.4123914746
1.42e-06,1.42e-06,241.0349178722,124.5837541054,5666.9982419275
1.42e-06,1.42e-06,6.0582334828,4.5292342777,0.2418219859
1.42e-06,1.42e-06,248.539715891,203.4580576461,1254.7640608346
1.42e-06,1.42e-06,12.0225965605,6.2014559786,28.0139237613
1.42e-06,1.42e-06,99.9560162674,9.6277155742,40.3789747197
1.42e-06,1.42e-06,7.2278271567,3.0596705618,361.3894037013
1.42e-06,1.42e-06,13.1805951254,2.4595087684,53.9553897402
1.42e-06,1.42e-06,79.6730349013,63.7717859436,171.7994924415
1.42e-06,1.42e-06,6.3215201556,0.648346139,10.2969323924
1.42e-06,1.42e-06,10.2103718558,2.7361763617,108.3116688798
1.42e-06,1.42e-06,8.918076554,3.4273431333,523.683703536
1.42e-06,1.42e-06,19.0403371021,7.9880473451,0.7527936218
1.42e-06,1.42e-06,17.935823384,6.5045335223,693.4149085025
1.42e-06,1.42e-06,291.0860841972,236.897423915,43.1713197516
1.42e-06,1.42e-06,18.6716662512,10.304110638,83.135138116
1.42e-06,1.42e-06,29.3960682225,18.4639486737,0.1573723391
1.42e-06,1.42e-06,12.2356262939,7.6797292827,0.4567870807
1.42e-06,1.42e-06,43.3845172802,42.830515044,13.6365869281
1.42e-06,1.42e-06,154.909043552,38.4274018884,1.1648833137
1.42e-06,1.42e-06,8.2328092428,6.4393672448,330.3028114916
1.42e-06,1.42e-06,14.9003274027,9.3898784055,557.6435184644
1.42e-06,1.42e-06,16.1183816653,11.0030197717,0.2730041816
1.42e-06,1.42e-06,48.827650537,37.9460971376,0.1770364433
1.42e-06,1.42e-06,58.2242290901,29.6577795227,2229.9581335409
1.42e-06,1.42e-06,10.4794755243,4.7353659758,18.2773355974
1.42e-06,1.42e-06,20.6843143267,9.5017763634,247.3715575466
1.42e-06,1.42e-06,73.8915447186,27.6460935214,1520.1834195735
1.42e-06,1.42e-06,87.5656734397,67.4528379689,8.4769180488
1.42e-06,1.42e-06,64.6135651074,13.3309672593,4.2704028342
1.42e-06,1.42e-06,64.773777946,28.021810598,0.254301949
1.42e-06,1.42e-06,162.5689499555,18.3831503891,0.4769074502
1.42e-06,1.42e-06,190.6840231244,167.809727551,14.7297293444
1.42e-06,1.42e-06,14.614093336,10.5894352127,0.1054629866
1.42e-06,1.42e-06,272.7832031048,63.7881223337,0.2237274937
1.42e-06,1.42e-06,184.7241047773,130.7201315788,693.8178919051
1.42e-06,1.42e-06,15.7218260043,13.1587177584,0.8181205328
1.42e-06,1.42e-06,6.8594080941,1.5252920946,5166.5501386287
1.42e-06,1.42e-06,46.2196236714,11.8075083327,3.0662895093
1.42e-06,1.42e-06,8.7680957738,4.3253615863,201.0291619695
1.42e-06,1.42e-06,9.712759184,7.1667811571,433.2835696366
1.42e-06,1.42e-06,156.0987392426,57.5516031849,132.3875870268
