initial_z,Zbase,m1,m2,initial_period_in_days
0.0284,0.0284,11.1322003128,2.2264400626,138.9495494373
0.0284,0.0284,11.1322003128,2.2264400626,193.0697728883
0.0284,0.0284,11.1322003128,2.2264400626,268.269579528
0.0284,0.0284,11.1322003128,2.2264400626,372.7593720315
0.0284,0.0284,11.1322003128,2.2264400626,517.9474679231
0.0284,0.0284,11.1322003128,2.2264400626,719.6856730012
0.0284,0.0284,11.1322003128,2.2264400626,1000.0
0.0284,0.0284,11.1322003128,2.2264400626,1389.4954943731
0.0284,0.0284,11.1322003128,2.2264400626,1930.6977288832
0.0284,0.0284,11.1322003128,2.2264400626,2682.6957952797
0.0284,0.0284,11.1322003128,2.2264400626,3727.5937203149
0.0284,0.0284,11.1322003128,2.2264400626,5179.4746792312
0.0284,0.0284,11.1322003128,2.7830500782,0.1
0.0284,0.0284,11.1322003128,2.7830500782,0.1389495494
0.0284,0.0284,11.1322003128,2.7830500782,0.1930697729
0.0284,0.0284,11.1322003128,2.7830500782,0.2682695795
0.0284,0.0284,11.1322003128,2.7830500782,0.372759372
0.0284,0.0284,11.1322003128,2.7830500782,0.5179474679
0.0284,0.0284,11.1322003128,2.7830500782,0.719685673
0.0284,0.0284,11.1322003128,2.7830500782,1.0
0.0284,0.0284,11.1322003128,2.7830500782,1.3894954944
0.0284,0.0284,11.1322003128,2.7830500782,1.9306977289
0.0284,0.0284,11.1322003128,2.7830500782,2.6826957953
0.0284,0.0284,11.1322003128,2.7830500782,3.7275937203
0.0284,0.0284,11.1322003128,2.7830500782,5.1794746792
0.0284,0.0284,11.1322003128,2.7830500782,7.19685673
0.0284,0.0284,11.1322003128,2.7830500782,10.0
0.0284,0.0284,11.1322003128,2.7830500782,13.8949549437
0.0284,0.0284,11.1322003128,2.7830500782,19.3069772888
0.0284,0.0284,11.1322003128,2.7830500782,26.8269579528
0.0284,0.0284,11.1322003128,2.7830500782,37.2759372031
0.0284,0.0284,11.1322003128,2.7830500782,51.7947467923
0.0284,0.0284,11.1322003128,2.7830500782,71.9685673001
0.0284,0.0284,11.1322003128,2.7830500782,100.0
0.0284,0.0284,11.1322003128,2.7830500782,138.9495494373
0.0284,0.0284,11.1322003128,2.7830500782,193.0697728883
0.0284,0.0284,11.1322003128,2.7830500782,268.269579528
0.0284,0.0284,11.1322003128,2.7830500782,372.7593720315
0.0284,0.0284,11.1322003128,2.7830500782,517.9474679231
0.0284,0.0284,11.1322003128,2.7830500782,719.6856730012
0.0284,0.0284,11.1322003128,2.7830500782,1000.0
0.0284,0.0284,11.1322003128,2.7830500782,1389.4954943731
0.0284,0.0284,11.1322003128,2.7830500782,1930.6977288832
0.0284,0.0284,11.1322003128,2.7830500782,2682.6957952797
0.0284,0.0284,11.1322003128,2.7830500782,3727.5937203149
0.0284,0.0284,11.1322003128,2.7830500782,5179.4746792312
0.0284,0.0284,11.1322003128,3.3396600938,0.1
0.0284,0.0284,11.1322003128,3.3396600938,0.1389495494
0.0284,0.0284,11.1322003128,3.3396600938,0.1930697729
0.0284,0.0284,11.1322003128,3.3396600938,0.2682695795
0.0284,0.0284,11.1322003128,3.3396600938,0.372759372
0.0284,0.0284,11.1322003128,3.3396600938,0.5179474679
0.0284,0.0284,11.1322003128,3.3396600938,0.719685673
0.0284,0.0284,11.1322003128,3.3396600938,1.0
0.0284,0.0284,11.1322003128,3.3396600938,1.3894954944
0.0284,0.0284,11.1322003128,3.3396600938,1.9306977289
0.0284,0.0284,11.1322003128,3.3396600938,2.6826957953
0.0284,0.0284,11.1322003128,3.3396600938,3.7275937203
0.0284,0.0284,11.1322003128,3.3396600938,5.1794746792
0.0284,0.0284,11.1322003128,3.3396600938,7.19685673
0.0284,0.0284,11.1322003128,3.3396600938,10.0
0.0284,0.0284,11.1322003128,3.3396600938,13.8949549437
0.0284,0.0284,11.1322003128,3.3396600938,19.3069772888
0.0284,0.0284,11.1322003128,3.3396600938,26.8269579528
0.0284,0.0284,11.1322003128,3.3396600938,37.2759372031
0.0284,0.0284,11.1322003128,3.3396600938,51.7947467923
0.0284,0.0284,11.1322003128,3.3396600938,71.9685673001
0.0284,0.0284,11.1322003128,3.3396600938,100.0
0.0284,0.0284,11.1322003128,3.3396600938,138.9495494373
0.0284,0.0284,11.1322003128,3.3396600938,193.0697728883
0.0284,0.0284,11.1322003128,3.3396600938,268.269579528
0.0284,0.0284,11.1322003128,3.3396600938,372.7593720315
0.0284,0.0284,11.1322003128,3.3396600938,517.9474679231
0.0284,0.0284,11.1322003128,3.3396600938,719.6856730012
0.0284,0.0284,11.1322003128,3.3396600938,1000.0
0.0284,0.0284,11.1322003128,3.3396600938,1389.4954943731
0.0284,0.0284,11.1322003128,3.3396600938,1930.6977288832
0.0284,0.0284,11.1322003128,3.3396600938,2682.6957952797
0.0284,0.0284,11.1322003128,3.3396600938,3727.5937203149
0.0284,0.0284,11.1322003128,3.3396600938,5179.4746792312
0.0284,0.0284,11.1322003128,3.8962701095,0.1
0.0284,0.0284,11.1322003128,3.8962701095,0.1389495494
0.0284,0.0284,11.1322003128,3.8962701095,0.1930697729
0.0284,0.0284,11.1322003128,3.8962701095,0.2682695795
0.0284,0.0284,11.1322003128,3.8962701095,0.372759372
0.0284,0.0284,11.1322003128,3.8962701095,0.5179474679
0.0284,0.0284,11.1322003128,3.8962701095,0.719685673
0.0284,0.0284,11.1322003128,3.8962701095,1.0
0.0284,0.0284,11.1322003128,3.8962701095,1.3894954944
0.0284,0.0284,11.1322003128,3.8962701095,1.9306977289
0.0284,0.0284,11.1322003128,3.8962701095,2.6826957953
0.0284,0.0284,11.1322003128,3.8962701095,3.7275937203
0.0284,0.0284,11.1322003128,3.8962701095,5.1794746792
0.0284,0.0284,11.1322003128,3.8962701095,7.19685673
0.0284,0.0284,11.1322003128,3.8962701095,10.0
0.0284,0.0284,11.1322003128,3.8962701095,13.8949549437
0.0284,0.0284,11.1322003128,3.8962701095,19.3069772888
0.0284,0.0284,11.1322003128,3.8962701095,26.8269579528
0.0284,0.0284,11.1322003128,3.8962701095,37.2759372031
