initial_z,Zbase,m1,m2,initial_period_in_days
0.00284,0.00284,79.9619994627,67.9676995433,71.9685673001
0.00284,0.00284,79.9619994627,67.9676995433,100.0
0.00284,0.00284,79.9619994627,67.9676995433,138.9495494373
0.00284,0.00284,79.9619994627,67.9676995433,193.0697728883
0.00284,0.00284,79.9619994627,67.9676995433,268.269579528
0.00284,0.00284,79.9619994627,67.9676995433,372.7593720315
0.00284,0.00284,79.9619994627,67.9676995433,517.9474679231
0.00284,0.00284,79.9619994627,67.9676995433,719.6856730012
0.00284,0.00284,79.9619994627,67.9676995433,1000.0
0.00284,0.00284,79.9619994627,67.9676995433,1389.4954943731
0.00284,0.00284,79.9619994627,67.9676995433,1930.6977288832
0.00284,0.00284,79.9619994627,67.9676995433,2682.6957952797
0.00284,0.00284,79.9619994627,67.9676995433,3727.5937203149
0.00284,0.00284,79.9619994627,67.9676995433,5179.4746792312
0.00284,0.00284,79.9619994627,71.9657995165,0.1
0.00284,0.00284,79.9619994627,71.9657995165,0.1389495494
0.00284,0.00284,79.9619994627,71.9657995165,0.1930697729
0.00284,0.00284,79.9619994627,71.9657995165,0.2682695795
0.00284,0.00284,79.9619994627,71.9657995165,0.372759372
0.00284,0.00284,79.9619994627,71.9657995165,0.5179474679
0.00284,0.00284,79.9619994627,71.9657995165,0.719685673
0.00284,0.00284,79.9619994627,71.9657995165,1.0
0.00284,0.00284,79.9619994627,71.9657995165,1.3894954944
0.00284,0.00284,79.9619994627,71.9657995165,1.9306977289
0.00284,0.00284,79.9619994627,71.9657995165,2.6826957953
0.00284,0.00284,79.9619994627,71.9657995165,3.7275937203
0.00284,0.00284,79.9619994627,71.9657995165,5.1794746792
0.00284,0.00284,79.9619994627,71.9657995165,7.19685673
0.00284,0.00284,79.9619994627,71.9657995165,10.0
0.00284,0.00284,79.9619994627,71.9657995165,13.8949549437
0.00284,0.00284,79.9619994627,71.9657995165,19.3069772888
0.00284,0.00284,79.9619994627,71.9657995165,26.8269579528
0.00284,0.00284,79.9619994627,71.9657995165,37.2759372031
0.00284,0.00284,79.9619994627,71.9657995165,51.7947467923
0.00284,0.00284,79.9619994627,71.9657995165,71.9685673001
0.00284,0.00284,79.9619994627,71.9657995165,100.0
0.00284,0.00284,79.9619994627,71.9657995165,138.9495494373
0.00284,0.00284,79.9619994627,71.9657995165,193.0697728883
0.00284,0.00284,79.9619994627,71.9657995165,268.269579528
0.00284,0.00284,79.9619994627,71.9657995165,372.7593720315
0.00284,0.00284,79.9619994627,71.9657995165,517.9474679231
0.00284,0.00284,79.9619994627,71.9657995165,719.6856730012
0.00284,0.00284,79.9619994627,71.9657995165,1000.0
0.00284,0.00284,79.9619994627,71.9657995165,1389.4954943731
0.00284,0.00284,79.9619994627,71.9657995165,1930.6977288832
0.00284,0.00284,79.9619994627,71.9657995165,2682.6957952797
0.00284,0.00284,79.9619994627,71.9657995165,3727.5937203149
0.00284,0.00284,79.9619994627,71.9657995165,5179.4746792312
0.00284,0.00284,79.9619994627,75.9638994896,0.1
0.00284,0.00284,79.9619994627,75.9638994896,0.1389495494
0.00284,0.00284,79.9619994627,75.9638994896,0.1930697729
0.00284,0.00284,79.9619994627,75.9638994896,0.2682695795
0.00284,0.00284,79.9619994627,75.9638994896,0.372759372
0.00284,0.00284,79.9619994627,75.9638994896,0.5179474679
0.00284,0.00284,79.9619994627,75.9638994896,0.719685673
0.00284,0.00284,79.9619994627,75.9638994896,1.0
0.00284,0.00284,79.9619994627,75.9638994896,1.3894954944
0.00284,0.00284,79.9619994627,75.9638994896,1.9306977289
0.00284,0.00284,79.9619994627,75.9638994896,2.6826957953
0.00284,0.00284,79.9619994627,75.9638994896,3.7275937203
0.00284,0.00284,79.9619994627,75.9638994896,5.1794746792
0.00284,0.00284,79.9619994627,75.9638994896,7.19685673
0.00284,0.00284,79.9619994627,75.9638994896,10.0
0.00284,0.00284,79.9619994627,75.9638994896,13.8949549437
0.00284,0.00284,79.9619994627,75.9638994896,19.3069772888
0.00284,0.00284,79.9619994627,75.9638994896,26.8269579528
0.00284,0.00284,79.9619994627,75.9638994896,37.2759372031
0.00284,0.00284,79.9619994627,75.9638994896,51.7947467923
0.00284,0.00284,79.9619994627,75.9638994896,71.9685673001
0.00284,0.00284,79.9619994627,75.9638994896,100.0
0.00284,0.00284,79.9619994627,75.9638994896,138.9495494373
0.00284,0.00284,79.9619994627,75.9638994896,193.0697728883
0.00284,0.00284,79.9619994627,75.9638994896,268.269579528
0.00284,0.00284,79.9619994627,75.9638994896,372.7593720315
0.00284,0.00284,79.9619994627,75.9638994896,517.9474679231
0.00284,0.00284,79.9619994627,75.9638994896,719.6856730012
0.00284,0.00284,79.9619994627,75.9638994896,1000.0
0.00284,0.00284,79.9619994627,75.9638994896,1389.4954943731
0.00284,0.00284,79.9619994627,75.9638994896,1930.6977288832
0.00284,0.00284,79.9619994627,75.9638994896,2682.6957952797
0.00284,0.00284,79.9619994627,75.9638994896,3727.5937203149
0.00284,0.00284,79.9619994627,75.9638994896,5179.4746792312
0.00284,0.00284,79.9619994627,79.1623794681,0.1
0.00284,0.00284,79.9619994627,79.1623794681,0.1389495494
0.00284,0.00284,79.9619994627,79.1623794681,0.1930697729
0.00284,0.00284,79.9619994627,79.1623794681,0.2682695795
0.00284,0.00284,79.9619994627,79.1623794681,0.372759372
0.00284,0.00284,79.9619994627,79.1623794681,0.5179474679
0.00284,0.00284,79.9619994627,79.1623794681,0.719685673
0.00284,0.00284,79.9619994627,79.1623794681,1.0
0.00284,0.00284,79.9619994627,79.1623794681,1.3894954944
0.00284,0.00284,79.9619994627,79.1623794681,1.9306977289
0.00284,0.00284,79.9619994627,79.1623794681,2.6826957953
0.00284,0.00284,79.9619994627,79.1623794681,3.7275937203
0.00284,0.00284,79.9619994627,79.1623794681,5.1794746792
0.00284,0.00284,79.9619994627,79.1623794681,7.19685673
0.00284,0.00284,79.9619994627,79.1623794681,10.0
0.00284,0.00284,79.9619994627,79.1623794681,13.8949549437
0.00284,0.00284,79.9619994627,79.1623794681,19.3069772888
0.00284,0.00284,79.9619994627,79.1623794681,26.8269579528
0.00284,0.00284,79.9619994627,79.1623794681,37.2759372031
0.00284,0.00284,79.9619994627,79.1623794681,51.7947467923
0.00284,0.00284,79.9619994627,79.1623794681,71.9685673001
0.00284,0.00284,79.9619994627,79.1623794681,100.0
0.00284,0.00284,79.9619994627,79.1623794681,138.9495494373
0.00284,0.00284,79.9619994627,79.1623794681,193.0697728883
0.00284,0.00284,79.9619994627,79.1623794681,268.269579528
0.00284,0.00284,79.9619994627,79.1623794681,372.7593720315
0.00284,0.00284,79.9619994627,79.1623794681,517.9474679231
0.00284,0.00284,79.9619994627,79.1623794681,719.6856730012
0.00284,0.00284,79.9619994627,79.1623794681,1000.0
0.00284,0.00284,79.9619994627,79.1623794681,1389.4954943731
0.00284,0.00284,79.9619994627,79.1623794681,1930.6977288832
0.00284,0.00284,79.9619994627,79.1623794681,2682.6957952797
0.00284,0.00284,79.9619994627,79.1623794681,3727.5937203149
0.00284,0.00284,79.9619994627,79.1623794681,5179.4746792312
0.00284,0.00284,89.7954618015,4.4897730901,0.1
0.00284,0.00284,89.7954618015,4.4897730901,0.1389495494
0.00284,0.00284,89.7954618015,4.4897730901,0.1930697729
0.00284,0.00284,89.7954618015,4.4897730901,0.2682695795
0.00284,0.00284,89.7954618015,4.4897730901,0.372759372
0.00284,0.00284,89.7954618015,4.4897730901,0.5179474679
0.00284,0.00284,89.7954618015,4.4897730901,0.719685673
0.00284,0.00284,89.7954618015,4.4897730901,1.0
