initial_z,Zbase,m1,m2,initial_period_in_days
0.00284,0.00284,3.91962324,0.195981162,0.1
0.00284,0.00284,3.91962324,0.195981162,0.1396437957
0.00284,0.00284,3.91962324,0.195981162,0.1950038968
0.00284,0.00284,3.91962324,0.195981162,0.2723108433
0.00284,0.00284,3.91962324,0.195981162,0.3802651977
0.00284,0.00284,3.91962324,0.195981162,0.5310167558
0.00284,0.00284,3.91962324,0.195981162,0.7415319537
0.00284,0.00284,3.91962324,0.195981162,1.0355033665
0.00284,0.00284,3.91962324,0.195981162,1.4460162057
0.00284,0.00284,3.91962324,0.195981162,2.0192719162
0.00284,0.00284,3.91962324,0.195981162,2.8197879494
0.00284,0.00284,3.91962324,0.195981162,3.9376589236
0.00284,0.00284,3.91962324,0.195981162,5.498696383
0.00284,0.00284,3.91962324,0.195981162,7.6785883437
0.00284,0.00284,3.91962324,0.195981162,10.7226722201
0.00284,0.00284,3.91962324,0.195981162,14.9735464897
0.00284,0.00284,3.91962324,0.195981162,20.9096286705
0.00284,0.00284,3.91962324,0.195981162,29.1989991443
0.00284,0.00284,3.91962324,0.195981162,40.7745907144
0.00284,0.00284,3.91962324,0.195981162,56.9391861586
0.00284,0.00284,3.91962324,0.195981162,79.5120407981
0.00284,0.00284,3.91962324,0.195981162,111.0336318168
0.00284,0.00284,3.91962324,0.195981162,155.0515779833
0.00284,0.00284,3.91962324,0.195981162,216.5199088036
0.00284,0.00284,3.91962324,0.195981162,302.3566191205
0.00284,0.00284,3.91962324,0.195981162,422.2222595195
0.00284,0.00284,3.91962324,0.195981162,589.6071895242
0.00284,0.00284,3.91962324,0.195981162,823.3498592289
0.00284,0.00284,3.91962324,0.195981162,1149.7569953977
0.00284,0.00284,3.91962324,0.195981162,1605.5643098112
0.00284,0.00284,3.91962324,0.195981162,2242.0709447806
0.00284,0.00284,3.91962324,0.195981162,3130.912969796
0.00284,0.00284,3.91962324,0.195981162,4372.1257113904
0.00284,0.00284,3.91962324,0.195981162,6105.4022965853
0.00284,0.00284,3.91962324,0.391962324,0.1
0.00284,0.00284,3.91962324,0.391962324,0.1396437957
0.00284,0.00284,3.91962324,0.391962324,0.1950038968
0.00284,0.00284,3.91962324,0.391962324,0.2723108433
0.00284,0.00284,3.91962324,0.391962324,0.3802651977
0.00284,0.00284,3.91962324,0.391962324,0.5310167558
0.00284,0.00284,3.91962324,0.391962324,0.7415319537
0.00284,0.00284,3.91962324,0.391962324,1.0355033665
0.00284,0.00284,3.91962324,0.391962324,1.4460162057
0.00284,0.00284,3.91962324,0.391962324,2.0192719162
0.00284,0.00284,3.91962324,0.391962324,2.8197879494
0.00284,0.00284,3.91962324,0.391962324,3.9376589236
0.00284,0.00284,3.91962324,0.391962324,5.498696383
0.00284,0.00284,3.91962324,0.391962324,7.6785883437
0.00284,0.00284,3.91962324,0.391962324,10.7226722201
0.00284,0.00284,3.91962324,0.391962324,14.9735464897
0.00284,0.00284,3.91962324,0.391962324,20.9096286705
0.00284,0.00284,3.91962324,0.391962324,29.1989991443
0.00284,0.00284,3.91962324,0.391962324,40.7745907144
0.00284,0.00284,3.91962324,0.391962324,56.9391861586
0.00284,0.00284,3.91962324,0.391962324,79.5120407981
0.00284,0.00284,3.91962324,0.391962324,111.0336318168
0.00284,0.00284,3.91962324,0.391962324,155.0515779833
0.00284,0.00284,3.91962324,0.391962324,216.5199088036
0.00284,0.00284,3.91962324,0.391962324,302.3566191205
0.00284,0.00284,3.91962324,0.391962324,422.2222595195
0.00284,0.00284,3.91962324,0.391962324,589.6071895242
0.00284,0.00284,3.91962324,0.391962324,823.3498592289
0.00284,0.00284,3.91962324,0.391962324,1149.7569953977
0.00284,0.00284,3.91962324,0.391962324,1605.5643098112
0.00284,0.00284,3.91962324,0.391962324,2242.0709447806
