initial_z,Zbase,m1,m2,initial_period_in_days
0.00639,0.00639,160.364451734,120.2733388005,1.3894954944
0.00639,0.00639,160.364451734,120.2733388005,1.9306977289
0.00639,0.00639,160.364451734,120.2733388005,2.6826957953
0.00639,0.00639,160.364451734,120.2733388005,3.7275937203
0.00639,0.00639,160.364451734,120.2733388005,5.1794746792
0.00639,0.00639,160.364451734,120.2733388005,7.19685673
0.00639,0.00639,160.364451734,120.2733388005,10.0
0.00639,0.00639,160.364451734,120.2733388005,13.8949549437
0.00639,0.00639,160.364451734,120.2733388005,19.3069772888
0.00639,0.00639,160.364451734,120.2733388005,26.8269579528
0.00639,0.00639,160.364451734,120.2733388005,37.2759372031
0.00639,0.00639,160.364451734,120.2733388005,51.7947467923
0.00639,0.00639,160.364451734,120.2733388005,71.9685673001
0.00639,0.00639,160.364451734,120.2733388005,100.0
0.00639,0.00639,160.364451734,120.2733388005,138.9495494373
0.00639,0.00639,160.364451734,120.2733388005,193.0697728883
0.00639,0.00639,160.364451734,120.2733388005,268.269579528
0.00639,0.00639,160.364451734,120.2733388005,372.7593720315
0.00639,0.00639,160.364451734,120.2733388005,517.9474679231
0.00639,0.00639,160.364451734,120.2733388005,719.6856730012
0.00639,0.00639,160.364451734,120.2733388005,1000.0
0.00639,0.00639,160.364451734,120.2733388005,1389.4954943731
0.00639,0.00639,160.364451734,120.2733388005,1930.6977288832
0.00639,0.00639,160.364451734,120.2733388005,2682.6957952797
0.00639,0.00639,160.364451734,120.2733388005,3727.5937203149
0.00639,0.00639,160.364451734,120.2733388005,5179.4746792312
0.00639,0.00639,160.364451734,128.2915613872,0.1
0.00639,0.00639,160.364451734,128.2915613872,0.1389495494
0.00639,0.00639,160.364451734,128.2915613872,0.1930697729
0.00639,0.00639,160.364451734,128.2915613872,0.2682695795
0.00639,0.00639,160.364451734,128.2915613872,0.372759372
0.00639,0.00639,160.364451734,128.2915613872,0.5179474679
0.00639,0.00639,160.364451734,128.2915613872,0.719685673
0.00639,0.00639,160.364451734,128.2915613872,1.0
0.00639,0.00639,160.364451734,128.2915613872,1.3894954944
0.00639,0.00639,160.364451734,128.2915613872,1.9306977289
0.00639,0.00639,160.364451734,128.2915613872,2.6826957953
0.00639,0.00639,160.364451734,128.2915613872,3.7275937203
0.00639,0.00639,160.364451734,128.2915613872,5.1794746792
0.00639,0.00639,160.364451734,128.2915613872,7.19685673
0.00639,0.00639,160.364451734,128.2915613872,10.0
0.00639,0.00639,160.364451734,128.2915613872,13.8949549437
0.00639,0.00639,160.364451734,128.2915613872,19.3069772888
0.00639,0.00639,160.364451734,128.2915613872,26.8269579528
0.00639,0.00639,160.364451734,128.2915613872,37.2759372031
0.00639,0.00639,160.364451734,128.2915613872,51.7947467923
0.00639,0.00639,160.364451734,128.2915613872,71.9685673001
0.00639,0.00639,160.364451734,128.2915613872,100.0
0.00639,0.00639,160.364451734,128.2915613872,138.9495494373
0.00639,0.00639,160.364451734,128.2915613872,193.0697728883
0.00639,0.00639,160.364451734,128.2915613872,268.269579528
0.00639,0.00639,160.364451734,128.2915613872,372.7593720315
0.00639,0.00639,160.364451734,128.2915613872,517.9474679231
0.00639,0.00639,160.364451734,128.2915613872,719.6856730012
0.00639,0.00639,160.364451734,128.2915613872,1000.0
0.00639,0.00639,160.364451734,128.2915613872,1389.4954943731
0.00639,0.00639,160.364451734,128.2915613872,1930.6977288832
0.00639,0.00639,160.364451734,128.2915613872,2682.6957952797
0.00639,0.00639,160.364451734,128.2915613872,3727.5937203149
0.00639,0.00639,160.364451734,128.2915613872,5179.4746792312
0.00639,0.00639,160.364451734,136.3097839739,0.1
0.00639,0.00639,160.364451734,136.3097839739,0.1389495494
0.00639,0.00639,160.364451734,136.3097839739,0.1930697729
0.00639,0.00639,160.364451734,136.3097839739,0.2682695795
0.00639,0.00639,160.364451734,136.3097839739,0.372759372
0.00639,0.00639,160.364451734,136.3097839739,0.5179474679
0.00639,0.00639,160.364451734,136.3097839739,0.719685673
0.00639,0.00639,160.364451734,136.3097839739,1.0
0.00639,0.00639,160.364451734,136.3097839739,1.3894954944
0.00639,0.00639,160.364451734,136.3097839739,1.9306977289
0.00639,0.00639,160.364451734,136.3097839739,2.6826957953
0.00639,0.00639,160.364451734,136.3097839739,3.7275937203
0.00639,0.00639,160.364451734,136.3097839739,5.1794746792
0.00639,0.00639,160.364451734,136.3097839739,7.19685673
0.00639,0.00639,160.364451734,136.3097839739,10.0
0.00639,0.00639,160.364451734,136.3097839739,13.8949549437
0.00639,0.00639,160.364451734,136.3097839739,19.3069772888
0.00639,0.00639,160.364451734,136.3097839739,26.8269579528
0.00639,0.00639,160.364451734,136.3097839739,37.2759372031
0.00639,0.00639,160.364451734,136.3097839739,51.7947467923
0.00639,0.00639,160.364451734,136.3097839739,71.9685673001
0.00639,0.00639,160.364451734,136.3097839739,100.0
0.00639,0.00639,160.364451734,136.3097839739,138.9495494373
0.00639,0.00639,160.364451734,136.3097839739,193.0697728883
0.00639,0.00639,160.364451734,136.3097839739,268.269579528
0.00639,0.00639,160.364451734,136.3097839739,372.7593720315
0.00639,0.00639,160.364451734,136.3097839739,517.9474679231
0.00639,0.00639,160.364451734,136.3097839739,719.6856730012
0.00639,0.00639,160.364451734,136.3097839739,1000.0
0.00639,0.00639,160.364451734,136.3097839739,1389.4954943731
0.00639,0.00639,160.364451734,136.3097839739,1930.6977288832
0.00639,0.00639,160.364451734,136.3097839739,2682.6957952797
0.00639,0.00639,160.364451734,136.3097839739,3727.5937203149
0.00639,0.00639,160.364451734,136.3097839739,5179.4746792312
0.00639,0.00639,160.364451734,144.3280065606,0.1
0.00639,0.00639,160.364451734,144.3280065606,0.1389495494
0.00639,0.00639,160.364451734,144.3280065606,0.1930697729
0.00639,0.00639,160.364451734,144.3280065606,0.2682695795
0.00639,0.00639,160.364451734,144.3280065606,0.372759372
0.00639,0.00639,160.364451734,144.3280065606,0.5179474679
0.00639,0.00639,160.364451734,144.3280065606,0.719685673
0.00639,0.00639,160.364451734,144.3280065606,1.0
0.00639,0.00639,160.364451734,144.3280065606,1.3894954944
0.00639,0.00639,160.364451734,144.3280065606,1.9306977289
0.00639,0.00639,160.364451734,144.3280065606,2.6826957953
0.00639,0.00639,160.364451734,144.3280065606,3.7275937203
0.00639,0.00639,160.364451734,144.3280065606,5.1794746792
0.00639,0.00639,160.364451734,144.3280065606,7.19685673
0.00639,0.00639,160.364451734,144.3280065606,10.0
0.00639,0.00639,160.364451734,144.3280065606,13.8949549437
0.00639,0.00639,160.364451734,144.3280065606,19.3069772888
0.00639,0.00639,160.364451734,144.3280065606,26.8269579528
0.00639,0.00639,160.364451734,144.3280065606,37.2759372031
0.00639,0.00639,160.364451734,144.3280065606,51.7947467923
0.00639,0.00639,160.364451734,144.3280065606,71.9685673001
0.00639,0.00639,160.364451734,144.3280065606,100.0
0.00639,0.00639,160.364451734,144.3280065606,138.9495494373
0.00639,0.00639,160.364451734,144.3280065606,193.0697728883
0.00639,0.00639,160.364451734,144.3280065606,268.269579528
0.00639,0.00639,160.364451734,144.3280065606,372.7593720315
0.00639,0.00639,160.364451734,144.3280065606,517.9474679231
0.00639,0.00639,160.364451734,144.3280065606,719.6856730012
0.00639,0.00639,160.364451734,144.3280065606,1000.0
0.00639,0.00639,160.364451734,144.3280065606,1389.4954943731
0.00639,0.00639,160.364451734,144.3280065606,1930.6977288832
0.00639,0.00639,160.364451734,144.3280065606,2682.6957952797
0.00639,0.00639,160.364451734,144.3280065606,3727.5937203149
0.00639,0.00639,160.364451734,144.3280065606,5179.4746792312
0.00639,0.00639,160.364451734,152.3462291473,0.1
0.00639,0.00639,160.364451734,152.3462291473,0.1389495494
0.00639,0.00639,160.364451734,152.3462291473,0.1930697729
0.00639,0.00639,160.364451734,152.3462291473,0.2682695795
0.00639,0.00639,160.364451734,152.3462291473,0.372759372
0.00639,0.00639,160.364451734,152.3462291473,0.5179474679
0.00639,0.00639,160.364451734,152.3462291473,0.719685673
0.00639,0.00639,160.364451734,152.3462291473,1.0
0.00639,0.00639,160.364451734,152.3462291473,1.3894954944
0.00639,0.00639,160.364451734,152.3462291473,1.9306977289
0.00639,0.00639,160.364451734,152.3462291473,2.6826957953
0.00639,0.00639,160.364451734,152.3462291473,3.7275937203
0.00639,0.00639,160.364451734,152.3462291473,5.1794746792
0.00639,0.00639,160.364451734,152.3462291473,7.19685673
0.00639,0.00639,160.364451734,152.3462291473,10.0
0.00639,0.00639,160.364451734,152.3462291473,13.8949549437
0.00639,0.00639,160.364451734,152.3462291473,19.3069772888
0.00639,0.00639,160.364451734,152.3462291473,26.8269579528
0.00639,0.00639,160.364451734,152.3462291473,37.2759372031
0.00639,0.00639,160.364451734,152.3462291473,51.7947467923
0.00639,0.00639,160.364451734,152.3462291473,71.9685673001
0.00639,0.00639,160.364451734,152.3462291473,100.0
0.00639,0.00639,160.364451734,152.3462291473,138.9495494373
0.00639,0.00639,160.364451734,152.3462291473,193.0697728883
0.00639,0.00639,160.364451734,152.3462291473,268.269579528
0.00639,0.00639,160.364451734,152.3462291473,372.7593720315
0.00639,0.00639,160.364451734,152.3462291473,517.9474679231
0.00639,0.00639,160.364451734,152.3462291473,719.6856730012
0.00639,0.00639,160.364451734,152.3462291473,1000.0
0.00639,0.00639,160.364451734,152.3462291473,1389.4954943731
0.00639,0.00639,160.364451734,152.3462291473,1930.6977288832
0.00639,0.00639,160.364451734,152.3462291473,2682.6957952797
0.00639,0.00639,160.364451734,152.3462291473,3727.5937203149
0.00639,0.00639,160.364451734,152.3462291473,5179.4746792312
0.00639,0.00639,160.364451734,158.7608072166,0.1
0.00639,0.00639,160.364451734,158.7608072166,0.1389495494
0.00639,0.00639,160.364451734,158.7608072166,0.1930697729
0.00639,0.00639,160.364451734,158.7608072166,0.2682695795
0.00639,0.00639,160.364451734,158.7608072166,0.372759372
0.00639,0.00639,160.364451734,158.7608072166,0.5179474679
0.00639,0.00639,160.364451734,158.7608072166,0.719685673
0.00639,0.00639,160.364451734,158.7608072166,1.0
0.00639,0.00639,160.364451734,158.7608072166,1.3894954944
0.00639,0.00639,160.364451734,158.7608072166,1.9306977289
0.00639,0.00639,160.364451734,158.7608072166,2.6826957953
0.00639,0.00639,160.364451734,158.7608072166,3.7275937203
0.00639,0.00639,160.364451734,158.7608072166,5.1794746792
0.00639,0.00639,160.364451734,158.7608072166,7.19685673
0.00639,0.00639,160.364451734,158.7608072166,10.0
0.00639,0.00639,160.364451734,158.7608072166,13.8949549437
0.00639,0.00639,160.364451734,158.7608072166,19.3069772888
0.00639,0.00639,160.364451734,158.7608072166,26.8269579528
0.00639,0.00639,160.364451734,158.7608072166,37.2759372031
0.00639,0.00639,160.364451734,158.7608072166,51.7947467923
