initial_z,Zbase,m1,m2,initial_period_in_days
0.00639,0.00639,21.511393751,13.5242226159,63.7353034062
0.00639,0.00639,42.7881430294,9.5205567287,13.3020560387
0.00639,0.00639,10.4224034318,8.8184526716,1156.0972775842
0.00639,0.00639,18.125789233,10.2226446594,1074.0655450898
0.00639,0.00639,40.5093119348,22.5953000469,2.5943056475
0.00639,0.00639,86.325468398,43.3250133643,119.643234408
0.00639,0.00639,17.3684243792,10.5037289371,12.2370728924
0.00639,0.00639,30.195644558,24.1960712633,24.3309997232
0.00639,0.00639,48.1314068536,28.2235418256,0.2592371327
0.00639,0.00639,40.3716525263,17.4062018814,11.0489299087
0.00639,0.00639,50.2357553606,41.3149574425,314.903780231
0.00639,0.00639,7.5839789146,2.0495818642,33.4501393428
0.00639,0.00639,18.572811941,9.763244707,1.9392709971
0.00639,0.00639,34.7220063875,4.6531647077,3.9121080788
0.00639,0.00639,44.4528856363,15.4259745839,780.5945627957
0.00639,0.00639,21.5316286311,4.6766417508,0.1966887899
0.00639,0.00639,8.2258182243,2.5801430383,80.4263352147
0.00639,0.00639,12.7063176822,12.5435954331,0.1277356584
0.00639,0.00639,26.9553016119,10.1777915907,7.0831403995
0.00639,0.00639,63.0769016127,48.4376580988,221.8921889459
0.00639,0.00639,10.7405829462,5.8496007549,0.364954392
0.00639,0.00639,7.3489610404,3.6232139313,18.31919727
0.00639,0.00639,268.1775382146,129.1648429576,918.8447597574
0.00639,0.00639,98.3639189513,88.2048473594,0.5035067811
0.00639,0.00639,247.002919607,125.105334036,0.8541970903
0.00639,0.00639,14.606577365,5.7721345362,1.135373837
0.00639,0.00639,272.2506169951,73.6553404809,2.2957945439
0.00639,0.00639,42.888000845,41.2793040737,181.1173588333
0.00639,0.00639,127.3139178555,62.5805999011,447.4062599169
0.00639,0.00639,48.8925002133,9.9101650905,2.5774813447
0.00639,0.00639,95.0192433655,75.2508347119,83.8519320454
0.00639,0.00639,90.6125212507,41.9567823514,5.8662124902
0.00639,0.00639,6.0849310046,3.3541310887,41.79441297
0.00639,0.00639,63.4150414773,53.0230399653,137.4907966366
0.00639,0.00639,13.8195007623,6.5613038141,0.1384052696
0.00639,0.00639,5.5587736444,1.0495309162,3.8870624626
0.00639,0.00639,6.7663002373,2.5684916416,797.173262416
0.00639,0.00639,14.5863515127,13.4427653496,47.7262119812
0.00639,0.00639,34.4674110065,18.231016659,1.0466668062
0.00639,0.00639,18.6029057634,13.9376835162,9.2344188007
0.00639,0.00639,301.2382684421,259.8167559924,350.289747763
0.00639,0.00639,24.5426406757,12.9799482473,1240.9576917924
0.00639,0.00639,52.2299897551,36.0712747146,0.1125822577
0.00639,0.00639,91.4004539883,58.2887117956,0.2036376258
0.00639,0.00639,227.2354517707,148.2286504175,0.1568451354
0.00639,0.00639,12.0061874686,3.6889044634,39.8275486535
0.00639,0.00639,10.8599531797,1.146794745,0.5306644629
0.00639,0.00639,8.4628598571,3.3084171333,1101.1259028694
0.00639,0.00639,189.3110867877,58.680568128,2.7969371613
0.00639,0.00639,181.4387172021,161.3647619245,71.6825060002
0.00639,0.00639,15.1598085115,14.4180027772,5.9110343876
0.00639,0.00639,28.7970438959,13.5033303762,29.7866023574
0.00639,0.00639,96.4353910622,71.3658084647,30.3312795083
0.00639,0.00639,20.3542003189,19.5477522309,5.4988195876
0.00639,0.00639,121.0917123774,84.840921568,1988.1697246201
0.00639,0.00639,11.1104148655,7.3468537601,148.8599599882
0.00639,0.00639,156.1477556932,129.3684175864,13.9073233133
0.00639,0.00639,8.844047147,3.0636668809,6.6140096445
0.00639,0.00639,39.4752312774,14.8079670155,410.5280493082
0.00639,0.00639,7.071086878,4.7041241349,9.0787113089
0.00639,0.00639,21.4110065774,15.106143941,0.1525051347
0.00639,0.00639,15.6419568325,12.7067133653,2.4927489768
0.00639,0.00639,23.3406678587,2.3916324853,187.1889809735
0.00639,0.00639,43.8462088368,21.9216566584,20.6403971604
0.00639,0.00639,145.5666924533,98.0205266201,1960.4167739874
0.00639,0.00639,10.3454832729,2.8822788179,0.4666816622
0.00639,0.00639,66.7869079167,65.6735016458,5.5642118695
0.00639,0.00639,34.6405802243,6.5061358928,4516.127720669
0.00639,0.00639,49.6699142843,34.2539679512,28.5361912368
0.00639,0.00639,206.113020421,131.9059125385,2.5653215167
0.00639,0.00639,41.6552008548,20.2497453333,3.5993074821
0.00639,0.00639,33.1323536937,4.6766027459,1.8190805328
0.00639,0.00639,81.8433520385,17.2515856345,0.3873500226
0.00639,0.00639,51.8433999571,38.1282543124,0.144037615
0.00639,0.00639,38.5222381053,28.7619730221,638.8457527465
0.00639,0.00639,57.3822011692,5.3660665147,929.9071026141
0.00639,0.00639,9.7144989303,2.8101354341,454.4396823036
0.00639,0.00639,64.8123607381,54.2651714814,0.3643947084
0.00639,0.00639,113.3423069483,99.600793507,61.5271019781
0.00639,0.00639,19.8214204195,1.9321951837,2358.263692777
0.00639,0.00639,151.8037645246,136.4845982895,9.7623218498
0.00639,0.00639,33.7905068607,6.1070754987,0.1084225022
0.00639,0.00639,10.3719217434,1.8627457407,1.3568070424
0.00639,0.00639,154.917249789,22.8907610383,2.424131415
0.00639,0.00639,286.7830909977,150.7530622587,830.0668097219
0.00639,0.00639,258.942416705,24.4009129723,30.6412502378
0.00639,0.00639,38.8020123246,38.2426501174,1180.357702732
0.00639,0.00639,10.747061084,2.1108797186,3251.3577358234
0.00639,0.00639,29.7232225233,10.1126347419,0.3547454598
0.00639,0.00639,167.5085389635,55.5770552681,2607.5643709953
0.00639,0.00639,8.1901414531,1.2686103559,72.8909325335
0.00639,0.00639,79.8366730131,72.302667181,473.4546460593
0.00639,0.00639,22.8081676897,11.4221910355,742.2294722198
0.00639,0.00639,114.6076567996,22.6723678602,4705.6591062453
0.00639,0.00639,19.4693836306,9.983642839,19.4568010227
0.00639,0.00639,18.8639360308,9.6697082119,4748.727037291
0.00639,0.00639,229.1915208776,133.6851729028,3057.151074499
0.00639,0.00639,208.697104547,42.2422574228,16.0790744859
0.00639,0.00639,24.8679669764,24.5693554614,6.2800155014
0.00639,0.00639,206.8135962345,126.0255531492,5.5125779092
0.00639,0.00639,5.9737284315,1.2633489927,3.212418812
0.00639,0.00639,84.9592217868,60.0718069553,46.9722222361
0.00639,0.00639,238.1132640498,93.5720923907,0.3211997126
0.00639,0.00639,99.9430578494,38.1587933657,3833.1451470022
0.00639,0.00639,73.2061812211,47.0888349908,13.9809576112
0.00639,0.00639,234.9071439469,193.6352568473,17.9109626061
0.00639,0.00639,35.5973980428,7.6325875846,1.1412815616
0.00639,0.00639,31.047753599,15.2451838935,1.8898723017
0.00639,0.00639,6.5639891569,1.3546198509,2388.3189275038
0.00639,0.00639,20.3041353158,18.1387351035,1201.6904490337
0.00639,0.00639,7.3138751387,4.9687288363,8.8770567363
0.00639,0.00639,30.4986478697,9.51465991,5.4726541154
0.00639,0.00639,39.2259251303,12.5433488407,4046.1843448612
0.00639,0.00639,6.4414959925,3.0401443409,0.2770862958
0.00639,0.00639,82.2408577189,22.550610709,1.4907190438
0.00639,0.00639,8.8309232103,8.1141532815,3.9002292523
0.00639,0.00639,12.4078830642,6.9396810602,58.1965456995
0.00639,0.00639,51.9600650012,41.0354303352,0.4839038341
0.00639,0.00639,73.5872932234,6.5507173791,1673.1422412899
0.00639,0.00639,5.9114328998,3.1671339867,471.1635469938
0.00639,0.00639,261.7607477045,14.9965856107,3.7276622964
0.00639,0.00639,20.6280529701,8.4037030486,5.9901834969
0.00639,0.00639,186.7040762266,184.7593756479,0.770745386
0.00639,0.00639,46.9617482015,35.6896823435,239.0508824765
0.00639,0.00639,259.8125588415,170.640327275,0.511202207
0.00639,0.00639,198.9587200013,132.7049152624,1.2030317673
0.00639,0.00639,41.2510341836,20.5534481436,0.2688791519
0.00639,0.00639,22.6653581668,11.6676545446,32.060408328
0.00639,0.00639,21.5062731353,11.4459497037,0.5515597695
0.00639,0.00639,246.0528642063,20.462007837,7.9076080014
0.00639,0.00639,33.0872812503,18.3657241469,21.4053041439
0.00639,0.00639,7.50795967,6.3529180437,62.653609083
0.00639,0.00639,8.2976647055,1.2614194029,0.9014127196
0.00639,0.00639,5.860845572,5.719686587,0.842095507
0.00639,0.00639,203.9992487771,45.6682727098,5.2900580283
0.00639,0.00639,56.8283107162,22.4510945882,3.7664770278
0.00639,0.00639,54.0966506779,19.5478979403,4457.2032830692
0.00639,0.00639,104.8486747322,21.8172288249,2.7357095796
0.00639,0.00639,17.7177809965,4.2815915007,4393.6972499185
0.00639,0.00639,14.1853405688,6.0935599442,37.872270845
0.00639,0.00639,14.529552235,10.7522961485,3980.3476622456
0.00639,0.00639,22.7301692301,12.4712996309,58.623752653
0.00639,0.00639,130.0115097135,75.2414221251,0.4246869924
0.00639,0.00639,77.5054559585,6.0290660727,565.2139660628
0.00639,0.00639,40.2177117548,31.6120478628,193.3952216095
0.00639,0.00639,25.5281650442,18.0419728992,1374.8849865537
0.00639,0.00639,241.8467354925,189.0759533673,195.4640431885
0.00639,0.00639,15.7124985349,12.7247038207,1630.6212323038
0.00639,0.00639,238.9815250981,89.4429273241,0.1106696661
0.00639,0.00639,67.0186351973,52.8415747734,6.8318496365
0.00639,0.00639,18.2163743103,15.4728344513,0.1255334344
0.00639,0.00639,30.010545027,13.928670023,0.1059796532
0.00639,0.00639,76.42216444,66.070296864,9.7824858491
0.00639,0.00639,7.8655229607,5.0852239294,1366.9700526765
0.00639,0.00639,23.7703404712,7.5405179068,5.111366494
0.00639,0.00639,28.1196165801,22.8305794379,2761.9878256321
0.00639,0.00639,6.8452063409,3.1249609051,290.180706386
0.00639,0.00639,76.0075310756,38.2008715042,2.8918428485
0.00639,0.00639,171.804641089,16.0418265339,39.0005703568
0.00639,0.00639,9.3148921938,8.318017489,3359.3262544891
0.00639,0.00639,10.4195310861,9.355924313,1.533778464
0.00639,0.00639,100.3871109163,68.2699120054,6.3882893876
0.00639,0.00639,7.2202769727,6.0309012831,2709.9222607986
0.00639,0.00639,247.9838603123,73.2367456675,1041.2740120343
0.00639,0.00639,20.9060909714,12.235197288,1101.0438213799
0.00639,0.00639,14.2186161094,4.6968562478,0.5704174046
0.00639,0.00639,153.3375882751,103.5941699269,2.9197328284
0.00639,0.00639,193.0398567236,183.7471429048,0.3963930696
0.00639,0.00639,8.6903265025,2.313297295,2283.6516579069
0.00639,0.00639,41.954532933,23.6485590657,4.3053387258
0.00639,0.00639,70.4503674646,8.3624405057,3895.5766279237
0.00639,0.00639,67.0102225966,24.0498552388,1461.2637670141
0.00639,0.00639,10.2456212655,7.8835146922,0.1327201598
0.00639,0.00639,85.882405372,14.3870709825,184.6373567906
0.00639,0.00639,44.2955810221,33.8941135697,2.8110178292
0.00639,0.00639,22.7791012652,10.5249463932,4.1316058306
0.00639,0.00639,266.190667701,95.994870526,1.884513295
0.00639,0.00639,253.3689863005,38.1667793307,81.7823579622
0.00639,0.00639,118.0716883368,32.0607399107,41.2723782429
0.00639,0.00639,230.1366611397,136.717363407,6.6068879008
0.00639,0.00639,36.5398576578,26.029811891,151.7725085371
0.00639,0.00639,11.3029885156,5.3527574672,25.4642370351
0.00639,0.00639,163.9242410109,78.3120734546,8.5457787192
0.00639,0.00639,176.90545397,145.0541663008,5.842351358
0.00639,0.00639,121.9293156486,31.2893570482,9.1758088436
0.00639,0.00639,9.3928109412,0.5516812551,66.4019435289
0.00639,0.00639,41.6526762498,40.1880142062,2843.3747281475
0.00639,0.00639,8.180225125,8.0216445139,5619.48928886
0.00639,0.00639,20.9644797385,14.2286923977,78.1832296859
0.00639,0.00639,115.5171945697,79.8723065491,2312.0269073
0.00639,0.00639,58.0862914099,12.2907604812,637.9555070438
0.00639,0.00639,281.0383823139,102.5140186125,1.4586043152
0.00639,0.00639,21.7509406048,7.5539070969,1746.0188444548
0.00639,0.00639,38.4759237336,13.926686742,0.7938408265
0.00639,0.00639,32.1357086151,10.6252817689,30.9266238619
0.00639,0.00639,108.0763103386,38.3555945213,0.3144549005
0.00639,0.00639,22.203742825,19.1263828952,0.4748597806
0.00639,0.00639,30.239094454,9.713005935,0.1096992258
0.00639,0.00639,173.5726751668,9.8369365913,2342.2601617234
0.00639,0.00639,8.4918097963,7.5575114191,165.0680855242
0.00639,0.00639,7.303309284,5.8139872487,42.670458518
0.00639,0.00639,152.5482459475,46.601947034,0.1691586337
0.00639,0.00639,7.2229116275,1.4501084339,25.4216070192
0.00639,0.00639,80.5919518728,32.7768500374,70.1927022875
0.00639,0.00639,38.0091007491,36.0300726562,1630.1383414433
0.00639,0.00639,227.4804801369,88.0992117886,243.1051521618
0.00639,0.00639,53.7090290925,33.3494818841,535.6770288744
0.00639,0.00639,109.0262358559,73.9773539295,3148.7188461823
0.00639,0.00639,188.5477738864,64.2959925888,0.2931333186
0.00639,0.00639,272.0841762038,236.280551871,1890.3564421687
0.00639,0.00639,96.363956551,41.3073711038,16.5855259696
0.00639,0.00639,103.933038842,9.2778156005,0.3751847763
0.00639,0.00639,7.8169696639,7.018114899,89.6943464251
0.00639,0.00639,18.2507632744,1.8214688266,9.896497872
0.00639,0.00639,8.0657460855,0.9275562284,0.1783657554
0.00639,0.00639,136.2779144267,60.6657091198,3572.7860058254
0.00639,0.00639,259.3461869398,233.5066387458,152.677583228
0.00639,0.00639,6.4197216412,5.8241089472,25.8226587429
0.00639,0.00639,90.45764423,10.7472702861,2869.2398962178
0.00639,0.00639,21.5581608579,10.1175871929,12.7519606151
0.00639,0.00639,36.7265279163,13.725014004,59.4908003028
0.00639,0.00639,13.9861516382,1.3839268236,0.2109841082
0.00639,0.00639,128.5725763995,76.2252560161,171.9932424017
0.00639,0.00639,200.105911864,194.8333659592,32.2843954311
0.00639,0.00639,8.2993896048,7.6348259648,50.2449312637
0.00639,0.00639,71.5830455288,65.6920579575,204.9147964316
0.00639,0.00639,7.7472602452,5.0882454752,25.8257347871
0.00639,0.00639,85.3057021463,33.600951459,3473.6324583298
0.00639,0.00639,14.9717917195,14.3888577014,156.0461022826
0.00639,0.00639,24.2809849808,14.7490145319,2.4531841075
0.00639,0.00639,8.939946195,8.8533142781,0.9247723657
0.00639,0.00639,176.7508716709,97.9225834379,42.7282284479
0.00639,0.00639,100.8565042662,51.7068625687,3810.0004225102
0.00639,0.00639,54.2475317658,22.4789235526,625.6655479678
0.00639,0.00639,27.3451547331,21.4698508031,1.8039316345
0.00639,0.00639,49.0350825753,23.7452894391,3191.3566739274
0.00639,0.00639,51.4104525532,49.7462873973,72.4017391068
0.00639,0.00639,197.8336567795,195.2610227765,0.2345897055
0.00639,0.00639,37.129259216,22.2874976426,0.1850941469
0.00639,0.00639,233.6094721104,133.3131497167,1.3678289255
0.00639,0.00639,140.4474563313,64.1774170119,17.0672482967
0.00639,0.00639,67.1538825643,35.4788886706,1.8108612637
0.00639,0.00639,61.6633535749,40.516351284,1.7275964118
0.00639,0.00639,9.6191170023,5.9312996828,3.4422925091
0.00639,0.00639,18.1655677114,15.7566935845,93.1251225691
0.00639,0.00639,11.6963653582,0.7137845547,0.4963745973
0.00639,0.00639,253.107484131,235.7631043896,607.6495347967
0.00639,0.00639,6.2268919384,3.9910219346,493.3009966086
0.00639,0.00639,25.5130226662,6.2585434147,4590.5128065447
0.00639,0.00639,128.8377747578,71.1610646722,2572.9190340422
0.00639,0.00639,33.1170418071,5.7491173336,0.6384960608
0.00639,0.00639,26.7047956955,22.6128209769,50.2023897097
0.00639,0.00639,185.6514257867,10.3565601077,207.6761465876
0.00639,0.00639,19.0473085651,5.2859274325,282.5644663688
0.00639,0.00639,90.6009803778,5.7256276799,629.9200475351
0.00639,0.00639,33.6651270558,14.3771277621,0.4555219956
0.00639,0.00639,15.2782173484,2.9786321028,0.1312935528
0.00639,0.00639,38.8506146378,26.7904231305,3.769858753
0.00639,0.00639,184.0992040088,173.4930838561,0.24927773
0.00639,0.00639,27.5984259088,22.0485738452,0.3701392669
0.00639,0.00639,18.4689167066,2.5392870021,1636.1719533935
0.00639,0.00639,65.021398683,4.5324066192,864.0668535893
0.00639,0.00639,88.1410259877,34.5122232674,17.8017142797
0.00639,0.00639,17.3581479343,5.2455147555,43.6903141199
0.00639,0.00639,19.9719589279,9.7206083045,136.3482050196
0.00639,0.00639,19.6902916187,11.4742527761,0.225635895
0.00639,0.00639,146.4677694495,66.5663297019,0.9808508661
0.00639,0.00639,16.399359933,15.0048899701,116.4596217995
0.00639,0.00639,19.5889046,1.2079263045,3603.7804652791
0.00639,0.00639,13.1799634841,10.4253786745,0.7102854438
0.00639,0.00639,198.6288182302,142.6697529299,0.2548302855
0.00639,0.00639,12.3842835005,7.8662255235,0.5139431292
0.00639,0.00639,136.5519930445,89.4350628322,96.9067635199
0.00639,0.00639,281.1866246224,203.8815972774,17.3239711993
0.00639,0.00639,203.6375141534,84.3087403271,3.0109124607
0.00639,0.00639,126.9547094868,99.633742533,3516.2319857596
0.00639,0.00639,15.9203113792,6.6333046751,6.3927454526
0.00639,0.00639,103.0048578043,93.575276754,656.7778671545
0.00639,0.00639,8.0338291229,4.1701526031,6102.5918301855
0.00639,0.00639,12.4370862871,1.0149567767,404.585708605
0.00639,0.00639,27.6125502614,16.2383202604,321.9033494712
0.00639,0.00639,8.5277470125,2.9470388969,0.2132460474
0.00639,0.00639,6.8469419319,5.4604149676,112.5459842229
0.00639,0.00639,298.9057100965,43.8323687927,0.4177625399
0.00639,0.00639,81.0529511692,70.7002877488,1153.0937262832
0.00639,0.00639,160.2357687035,129.3032681034,115.7244949603
0.00639,0.00639,7.0205431593,2.5099947884,78.174080568
0.00639,0.00639,17.5740575964,6.9906725933,985.4593866338
0.00639,0.00639,32.3026359326,27.1626190256,0.9345715448
0.00639,0.00639,26.5849249365,17.4842034719,39.9772841721
0.00639,0.00639,68.0399446021,9.7652767,313.6315857444
