initial_z,Zbase,m1,m2,initial_period_in_days
0.00639,0.00639,1.6533443157,1.0746738052,7.6785883437
0.00639,0.00639,1.6533443157,1.0746738052,10.7226722201
0.00639,0.00639,1.6533443157,1.0746738052,14.9735464897
0.00639,0.00639,1.6533443157,1.0746738052,20.9096286705
0.00639,0.00639,1.6533443157,1.0746738052,29.1989991443
0.00639,0.00639,1.6533443157,1.0746738052,40.7745907144
0.00639,0.00639,1.6533443157,1.0746738052,56.9391861586
0.00639,0.00639,1.6533443157,1.0746738052,79.5120407981
0.00639,0.00639,1.6533443157,1.0746738052,111.0336318168
0.00639,0.00639,1.6533443157,1.0746738052,155.0515779833
0.00639,0.00639,1.6533443157,1.0746738052,216.5199088036
0.00639,0.00639,1.6533443157,1.0746738052,302.3566191205
0.00639,0.00639,1.6533443157,1.0746738052,422.2222595195
0.00639,0.00639,1.6533443157,1.0746738052,589.6071895242
0.00639,0.00639,1.6533443157,1.0746738052,823.3498592289
0.00639,0.00639,1.6533443157,1.0746738052,1149.7569953977
0.00639,0.00639,1.6533443157,1.0746738052,1605.5643098112
0.00639,0.00639,1.6533443157,1.0746738052,2242.0709447806
0.00639,0.00639,1.6533443157,1.0746738052,3130.912969796
0.00639,0.00639,1.6533443157,1.0746738052,4372.1257113904
0.00639,0.00639,1.6533443157,1.0746738052,6105.4022965853
0.00639,0.00639,1.6533443157,1.157341021,0.1
0.00639,0.00639,1.6533443157,1.157341021,0.1396437957
0.00639,0.00639,1.6533443157,1.157341021,0.1950038968
0.00639,0.00639,1.6533443157,1.157341021,0.2723108433
0.00639,0.00639,1.6533443157,1.157341021,0.3802651977
0.00639,0.00639,1.6533443157,1.157341021,0.5310167558
0.00639,0.00639,1.6533443157,1.157341021,0.7415319537
0.00639,0.00639,1.6533443157,1.157341021,1.0355033665
0.00639,0.00639,1.6533443157,1.157341021,1.4460162057
0.00639,0.00639,1.6533443157,1.157341021,2.0192719162
0.00639,0.00639,1.6533443157,1.157341021,2.8197879494
0.00639,0.00639,1.6533443157,1.157341021,3.9376589236
0.00639,0.00639,1.6533443157,1.157341021,5.498696383
0.00639,0.00639,1.6533443157,1.157341021,7.6785883437
0.00639,0.00639,1.6533443157,1.157341021,10.7226722201
0.00639,0.00639,1.6533443157,1.157341021,14.9735464897
0.00639,0.00639,1.6533443157,1.157341021,20.9096286705
0.00639,0.00639,1.6533443157,1.157341021,29.1989991443
0.00639,0.00639,1.6533443157,1.157341021,40.7745907144
0.00639,0.00639,1.6533443157,1.157341021,56.9391861586
0.00639,0.00639,1.6533443157,1.157341021,79.5120407981
0.00639,0.00639,1.6533443157,1.157341021,111.0336318168
0.00639,0.00639,1.6533443157,1.157341021,155.0515779833
0.00639,0.00639,1.6533443157,1.157341021,216.5199088036
0.00639,0.00639,1.6533443157,1.157341021,302.3566191205
0.00639,0.00639,1.6533443157,1.157341021,422.2222595195
0.00639,0.00639,1.6533443157,1.157341021,589.6071895242
0.00639,0.00639,1.6533443157,1.157341021,823.3498592289
0.00639,0.00639,1.6533443157,1.157341021,1149.7569953977
0.00639,0.00639,1.6533443157,1.157341021,1605.5643098112
0.00639,0.00639,1.6533443157,1.157341021,2242.0709447806
0.00639,0.00639,1.6533443157,1.157341021,3130.912969796
0.00639,0.00639,1.6533443157,1.157341021,4372.1257113904
0.00639,0.00639,1.6533443157,1.157341021,6105.4022965853
0.00639,0.00639,1.6533443157,1.2400082368,0.1
0.00639,0.00639,1.6533443157,1.2400082368,0.1396437957
0.00639,0.00639,1.6533443157,1.2400082368,0.1950038968
0.00639,0.00639,1.6533443157,1.2400082368,0.2723108433
0.00639,0.00639,1.6533443157,1.2400082368,0.3802651977
0.00639,0.00639,1.6533443157,1.2400082368,0.5310167558
0.00639,0.00639,1.6533443157,1.2400082368,0.7415319537
0.00639,0.00639,1.6533443157,1.2400082368,1.0355033665
0.00639,0.00639,1.6533443157,1.2400082368,1.4460162057
0.00639,0.00639,1.6533443157,1.2400082368,2.0192719162
0.00639,0.00639,1.6533443157,1.2400082368,2.8197879494
0.00639,0.00639,1.6533443157,1.2400082368,3.9376589236
0.00639,0.00639,1.6533443157,1.2400082368,5.498696383
0.00639,0.00639,1.6533443157,1.2400082368,7.6785883437
0.00639,0.00639,1.6533443157,1.2400082368,10.7226722201
0.00639,0.00639,1.6533443157,1.2400082368,14.9735464897
0.00639,0.00639,1.6533443157,1.2400082368,20.9096286705
0.00639,0.00639,1.6533443157,1.2400082368,29.1989991443
0.00639,0.00639,1.6533443157,1.2400082368,40.7745907144
0.00639,0.00639,1.6533443157,1.2400082368,56.9391861586
0.00639,0.00639,1.6533443157,1.2400082368,79.5120407981
0.00639,0.00639,1.6533443157,1.2400082368,111.0336318168
0.00639,0.00639,1.6533443157,1.2400082368,155.0515779833
0.00639,0.00639,1.6533443157,1.2400082368,216.5199088036
0.00639,0.00639,1.6533443157,1.2400082368,302.3566191205
0.00639,0.00639,1.6533443157,1.2400082368,422.2222595195
0.00639,0.00639,1.6533443157,1.2400082368,589.6071895242
0.00639,0.00639,1.6533443157,1.2400082368,823.3498592289
0.00639,0.00639,1.6533443157,1.2400082368,1149.7569953977
0.00639,0.00639,1.6533443157,1.2400082368,1605.5643098112
0.00639,0.00639,1.6533443157,1.2400082368,2242.0709447806
0.00639,0.00639,1.6533443157,1.2400082368,3130.912969796
0.00639,0.00639,1.6533443157,1.2400082368,4372.1257113904
0.00639,0.00639,1.6533443157,1.2400082368,6105.4022965853
0.00639,0.00639,1.6533443157,1.3226754526,0.1
0.00639,0.00639,1.6533443157,1.3226754526,0.1396437957
0.00639,0.00639,1.6533443157,1.3226754526,0.1950038968
0.00639,0.00639,1.6533443157,1.3226754526,0.2723108433
0.00639,0.00639,1.6533443157,1.3226754526,0.3802651977
0.00639,0.00639,1.6533443157,1.3226754526,0.5310167558
0.00639,0.00639,1.6533443157,1.3226754526,0.7415319537
0.00639,0.00639,1.6533443157,1.3226754526,1.0355033665
0.00639,0.00639,1.6533443157,1.3226754526,1.4460162057
0.00639,0.00639,1.6533443157,1.3226754526,2.0192719162
0.00639,0.00639,1.6533443157,1.3226754526,2.8197879494
0.00639,0.00639,1.6533443157,1.3226754526,3.9376589236
0.00639,0.00639,1.6533443157,1.3226754526,5.498696383
0.00639,0.00639,1.6533443157,1.3226754526,7.6785883437
0.00639,0.00639,1.6533443157,1.3226754526,10.7226722201
0.00639,0.00639,1.6533443157,1.3226754526,14.9735464897
0.00639,0.00639,1.6533443157,1.3226754526,20.9096286705
0.00639,0.00639,1.6533443157,1.3226754526,29.1989991443
0.00639,0.00639,1.6533443157,1.3226754526,40.7745907144
0.00639,0.00639,1.6533443157,1.3226754526,56.9391861586
0.00639,0.00639,1.6533443157,1.3226754526,79.5120407981
0.00639,0.00639,1.6533443157,1.3226754526,111.0336318168
0.00639,0.00639,1.6533443157,1.3226754526,155.0515779833
0.00639,0.00639,1.6533443157,1.3226754526,216.5199088036
0.00639,0.00639,1.6533443157,1.3226754526,302.3566191205
0.00639,0.00639,1.6533443157,1.3226754526,422.2222595195
0.00639,0.00639,1.6533443157,1.3226754526,589.6071895242
0.00639,0.00639,1.6533443157,1.3226754526,823.3498592289
0.00639,0.00639,1.6533443157,1.3226754526,1149.7569953977
0.00639,0.00639,1.6533443157,1.3226754526,1605.5643098112
0.00639,0.00639,1.6533443157,1.3226754526,2242.0709447806
0.00639,0.00639,1.6533443157,1.3226754526,3130.912969796
0.00639,0.00639,1.6533443157,1.3226754526,4372.1257113904
0.00639,0.00639,1.6533443157,1.3226754526,6105.4022965853
0.00639,0.00639,1.6533443157,1.4053426683,0.1
0.00639,0.00639,1.6533443157,1.4053426683,0.1396437957
0.00639,0.00639,1.6533443157,1.4053426683,0.1950038968
0.00639,0.00639,1.6533443157,1.4053426683,0.2723108433
0.00639,0.00639,1.6533443157,1.4053426683,0.3802651977
0.00639,0.00639,1.6533443157,1.4053426683,0.5310167558
0.00639,0.00639,1.6533443157,1.4053426683,0.7415319537
0.00639,0.00639,1.6533443157,1.4053426683,1.0355033665
0.00639,0.00639,1.6533443157,1.4053426683,1.4460162057
0.00639,0.00639,1.6533443157,1.4053426683,2.0192719162
0.00639,0.00639,1.6533443157,1.4053426683,2.8197879494
0.00639,0.00639,1.6533443157,1.4053426683,3.9376589236
0.00639,0.00639,1.6533443157,1.4053426683,5.498696383
0.00639,0.00639,1.6533443157,1.4053426683,7.6785883437
0.00639,0.00639,1.6533443157,1.4053426683,10.7226722201
0.00639,0.00639,1.6533443157,1.4053426683,14.9735464897
0.00639,0.00639,1.6533443157,1.4053426683,20.9096286705
0.00639,0.00639,1.6533443157,1.4053426683,29.1989991443
0.00639,0.00639,1.6533443157,1.4053426683,40.7745907144
0.00639,0.00639,1.6533443157,1.4053426683,56.9391861586
0.00639,0.00639,1.6533443157,1.4053426683,79.5120407981
0.00639,0.00639,1.6533443157,1.4053426683,111.0336318168
0.00639,0.00639,1.6533443157,1.4053426683,155.0515779833
0.00639,0.00639,1.6533443157,1.4053426683,216.5199088036
0.00639,0.00639,1.6533443157,1.4053426683,302.3566191205
0.00639,0.00639,1.6533443157,1.4053426683,422.2222595195
0.00639,0.00639,1.6533443157,1.4053426683,589.6071895242
0.00639,0.00639,1.6533443157,1.4053426683,823.3498592289
0.00639,0.00639,1.6533443157,1.4053426683,1149.7569953977
0.00639,0.00639,1.6533443157,1.4053426683,1605.5643098112
0.00639,0.00639,1.6533443157,1.4053426683,2242.0709447806
0.00639,0.00639,1.6533443157,1.4053426683,3130.912969796
0.00639,0.00639,1.6533443157,1.4053426683,4372.1257113904
0.00639,0.00639,1.6533443157,1.4053426683,6105.4022965853
