initial_z,Zbase,initial_mass
0.0142,0.0142,0.1
0.0142,0.0142,0.1021638182
0.0142,0.0142,0.1043744575
0.0142,0.0142,0.1066329311
0.0142,0.0142,0.1089402738
0.0142,0.0142,0.1112975433
0.0142,0.0142,0.1137058199
0.0142,0.0142,0.1161662071
0.0142,0.0142,0.1186798326
0.0142,0.0142,0.1212478485
0.0142,0.0142,0.1238714315
0.0142,0.0142,0.1265517841
0.0142,0.0142,0.1292901347
0.0142,0.0142,0.1320877382
0.0142,0.0142,0.1349458767
0.0142,0.0142,0.1378658602
0.0142,0.0142,0.1408490268
0.0142,0.0142,0.1438967437
0.0142,0.0142,0.1470104076
0.0142,0.0142,0.1501914456
0.0142,0.0142,0.1534413155
0.0142,0.0142,0.1567615066
0.0142,0.0142,0.1601535406
0.0142,0.0142,0.1636189721
0.0142,0.0142,0.1671593893
0.0142,0.0142,0.1707764146
0.0142,0.0142,0.1744717057
0.0142,0.0142,0.1782469563
0.0142,0.0142,0.1821038964
0.0142,0.0142,0.1860442937
0.0142,0.0142,0.190069954
0.0142,0.0142,0.1941827223
0.0142,0.0142,0.1983844834
0.0142,0.0142,0.202677163
0.0142,0.0142,0.2070627284
0.0142,0.0142,0.2115431894
0.0142,0.0142,0.2161205995
0.0142,0.0142,0.2207970564
0.0142,0.0142,0.2255747033
0.0142,0.0142,0.2304557299
0.0142,0.0142,0.2354423729
0.0142,0.0142,0.2405369179
0.0142,0.0142,0.2457416995
0.0142,0.0142,0.2510591032
0.0142,0.0142,0.2564915658
0.0142,0.0142,0.262041577
0.0142,0.0142,0.2677116804
0.0142,0.0142,0.2735044745
0.0142,0.0142,0.2794226142
0.0142,0.0142,0.2854688116
0.0142,0.0142,0.2916458377
0.0142,0.0142,0.2979565235
0.0142,0.0142,0.304403761
0.0142,0.0142,0.3109905051
0.0142,0.0142,0.3177197743
0.0142,0.0142,0.3245946526
0.0142,0.0142,0.3316182909
0.0142,0.0142,0.3387939078
0.0142,0.0142,0.3461247921
0.0142,0.0142,0.3536143035
0.0142,0.0142,0.3612658742
0.0142,0.0142,0.369083011
0.0142,0.0142,0.3770692964
0.0142,0.0142,0.3852283905
0.0142,0.0142,0.3935640326
0.0142,0.0142,0.4020800428
0.0142,0.0142,0.4107803241
0.0142,0.0142,0.4196688636
0.0142,0.0142,0.4287497349
0.0142,0.0142,0.4380270997
0.0142,0.0142,0.4475052099
0.0142,0.0142,0.4571884092
0.0142,0.0142,0.4670811353
0.0142,0.0142,0.477187922
0.0142,0.0142,0.4875134011
0.0142,0.0142,0.4980623049
0.0142,0.0142,0.5088394678
0.0142,0.0142,0.5198498289
0.0142,0.0142,0.5310984342
0.0142,0.0142,0.5425904389
0.0142,0.0142,0.5543311097
0.0142,0.0142,0.5663258272
0.0142,0.0142,0.5785800886
0.0142,0.0142,0.59109951
0.0142,0.0142,0.6038898288
0.0142,0.0142,0.616956907
0.0142,0.0142,0.6303067329
0.0142,0.0142,0.6439454248
0.0142,0.0142,0.6578792332
0.0142,0.0142,0.6721145439
0.0142,0.0142,0.6866578809
0.0142,0.0142,0.7015159092
0.0142,0.0142,0.7166954382
0.0142,0.0142,0.7322034247
0.0142,0.0142,0.7480469758
