initial_z,Zbase,initial_mass
1.42e-05,1.42e-05,0.5
1.42e-05,1.42e-05,0.5108124575
1.42e-05,1.42e-05,0.5218587334
1.42e-05,1.42e-05,0.5331438841
1.42e-05,1.42e-05,0.5446730752
1.42e-05,1.42e-05,0.5564515841
1.42e-05,1.42e-05,0.5684848023
1.42e-05,1.42e-05,0.5807782377
1.42e-05,1.42e-05,0.5933375177
1.42e-05,1.42e-05,0.606168391
1.42e-05,1.42e-05,0.6192767309
1.42e-05,1.42e-05,0.6326685375
1.42e-05,1.42e-05,0.6463499408
1.42e-05,1.42e-05,0.6603272033
1.42e-05,1.42e-05,0.6746067229
1.42e-05,1.42e-05,0.6891950359
1.42e-05,1.42e-05,0.7040988199
1.42e-05,1.42e-05,0.7193248969
1.42e-05,1.42e-05,0.7348802366
1.42e-05,1.42e-05,0.7507719592
1.42e-05,1.42e-05,0.7670073389
1.42e-05,1.42e-05,0.7835938074
1.42e-05,1.42e-05,0.8005389568
1.42e-05,1.42e-05,0.8178505436
1.42e-05,1.42e-05,0.835536492
1.42e-05,1.42e-05,0.8536048975
1.42e-05,1.42e-05,0.8720640308
1.42e-05,1.42e-05,0.8909223413
1.42e-05,1.42e-05,0.9101884611
1.42e-05,1.42e-05,0.9298712091
1.42e-05,1.42e-05,0.9499795949
1.42e-05,1.42e-05,0.9705228228
1.42e-05,1.42e-05,0.9915102963
1.42e-05,1.42e-05,1.012951622
1.42e-05,1.42e-05,1.0348566147
1.42e-05,1.42e-05,1.0572353009
1.42e-05,1.42e-05,1.0800979243
1.42e-05,1.42e-05,1.10345495
1.42e-05,1.42e-05,1.1273170694
1.42e-05,1.42e-05,1.1516952051
1.42e-05,1.42e-05,1.1766005159
1.42e-05,1.42e-05,1.202044402
1.42e-05,1.42e-05,1.2280385099
1.42e-05,1.42e-05,1.2545947382
1.42e-05,1.42e-05,1.2817252426
1.42e-05,1.42e-05,1.3094424419
1.42e-05,1.42e-05,1.3377590233
1.42e-05,1.42e-05,1.3666879483
1.42e-05,1.42e-05,1.3962424589
1.42e-05,1.42e-05,1.4264360833
1.42e-05,1.42e-05,1.4572826422
1.42e-05,1.42e-05,1.4887962554
1.42e-05,1.42e-05,1.5209913477
1.42e-05,1.42e-05,1.5538826562
1.42e-05,1.42e-05,1.5874852364
1.42e-05,1.42e-05,1.6218144695
1.42e-05,1.42e-05,1.6568860694
1.42e-05,1.42e-05,1.6927160897
1.42e-05,1.42e-05,1.7293209311
1.42e-05,1.42e-05,1.7667173491
1.42e-05,1.42e-05,1.8049224614
1.42e-05,1.42e-05,1.8439537561
1.42e-05,1.42e-05,1.8838290991
1.42e-05,1.42e-05,1.9245667431
1.42e-05,1.42e-05,1.9661853351
1.42e-05,1.42e-05,2.0087039257
1.42e-05,1.42e-05,2.0521419772
1.42e-05,1.42e-05,2.0965193728
1.42e-05,1.42e-05,2.1418564258
1.42e-05,1.42e-05,2.1881738888
1.42e-05,1.42e-05,2.2354929629
1.42e-05,1.42e-05,2.283835308
1.42e-05,1.42e-05,2.3332230522
1.42e-05,1.42e-05,2.3836788022
1.42e-05,1.42e-05,2.4352256535
1.42e-05,1.42e-05,2.487887201
1.42e-05,1.42e-05,2.54168755
1.42e-05,1.42e-05,2.596651327
1.42e-05,1.42e-05,2.652803691
1.42e-05,1.42e-05,2.7101703451
1.42e-05,1.42e-05,2.7687775482
1.42e-05,1.42e-05,2.8286521271
1.42e-05,1.42e-05,2.8898214886
1.42e-05,1.42e-05,2.9523136324
1.42e-05,1.42e-05,3.0161571635
1.42e-05,1.42e-05,3.0813813055
1.42e-05,1.42e-05,3.148015914
1.42e-05,1.42e-05,3.2160914903
1.42e-05,1.42e-05,3.2856391951
1.42e-05,1.42e-05,3.3566908631
1.42e-05,1.42e-05,3.4292790174
1.42e-05,1.42e-05,3.5034368843
1.42e-05,1.42e-05,3.5791984088
1.42e-05,1.42e-05,3.6565982699
1.42e-05,1.42e-05,3.7356718963
1.42e-05,1.42e-05,3.8164554832
1.42e-05,1.42e-05,3.8989860083
1.42e-05,1.42e-05,3.9833012489
1.42e-05,1.42e-05,4.0694397995
1.42e-05,1.42e-05,4.1574410889
1.42e-05,1.42e-05,4.2473453986
1.42e-05,1.42e-05,4.3391938815
1.42e-05,1.42e-05,4.4330285799
1.42e-05,1.42e-05,4.5288924457
1.42e-05,1.42e-05,4.6268293595
1.42e-05,1.42e-05,4.7268841507
1.42e-05,1.42e-05,4.8291026182
1.42e-05,1.42e-05,4.9335315514
1.42e-05,1.42e-05,5.0402187514
1.42e-05,1.42e-05,5.149213053
1.42e-05,1.42e-05,5.2605643471
1.42e-05,1.42e-05,5.3743236035
1.42e-05,1.42e-05,5.4905428941
1.42e-05,1.42e-05,5.609275417
1.42e-05,1.42e-05,5.7305755206
1.42e-05,1.42e-05,5.8544987286
1.42e-05,1.42e-05,5.9811017654
1.42e-05,1.42e-05,6.1104425821
1.42e-05,1.42e-05,6.242580383
1.42e-05,1.42e-05,6.3775756526
1.42e-05,1.42e-05,6.5154901834
1.42e-05,1.42e-05,6.6563871042
1.42e-05,1.42e-05,6.8003309089
1.42e-05,1.42e-05,6.9473874862
1.42e-05,1.42e-05,7.0976241494
1.42e-05,1.42e-05,7.2511096677
1.42e-05,1.42e-05,7.4079142972
1.42e-05,1.42e-05,7.5681098135
1.42e-05,1.42e-05,7.7317695443
1.42e-05,1.42e-05,7.8989684027
1.42e-05,1.42e-05,8.0697829223
1.42e-05,1.42e-05,8.2442912913
1.42e-05,1.42e-05,8.422573389
1.42e-05,1.42e-05,8.6047108218
1.42e-05,1.42e-05,8.7907869611
1.42e-05,1.42e-05,8.9808869811
1.42e-05,1.42e-05,9.1750978979
1.42e-05,1.42e-05,9.3735086092
1.42e-05,1.42e-05,9.5762099353
1.42e-05,1.42e-05,9.7832946602
1.42e-05,1.42e-05,9.9948575748
1.42e-05,1.42e-05,10.2109955193
1.42e-05,1.42e-05,10.4318074286
1.42e-05,1.42e-05,10.6573943765
1.42e-05,1.42e-05,10.8878596231
1.42e-05,1.42e-05,11.1233086609
1.42e-05,1.42e-05,11.3638492642
1.42e-05,1.42e-05,11.6095915376
1.42e-05,1.42e-05,11.8606479667
1.42e-05,1.42e-05,12.1171334697
1.42e-05,1.42e-05,12.3791654499
1.42e-05,1.42e-05,12.6468638494
1.42e-05,1.42e-05,12.920351204
1.42e-05,1.42e-05,13.1997526993
1.42e-05,1.42e-05,13.4851962282
1.42e-05,1.42e-05,13.7768124492
1.42e-05,1.42e-05,14.0747348461
1.42e-05,1.42e-05,14.3790997895
1.42e-05,1.42e-05,14.6900465989
1.42e-05,1.42e-05,15.0077176066
1.42e-05,1.42e-05,15.3322582228
1.42e-05,1.42e-05,15.6638170022
1.42e-05,1.42e-05,16.002545712
1.42e-05,1.42e-05,16.3485994013
1.42e-05,1.42e-05,16.7021364722
1.42e-05,1.42e-05,17.0633187522
1.42e-05,1.42e-05,17.4323115682
1.42e-05,1.42e-05,17.8092838225
1.42e-05,1.42e-05,18.1944080697
1.42e-05,1.42e-05,18.587860596
1.42e-05,1.42e-05,18.9898214997
1.42e-05,1.42e-05,19.4004747738
1.42e-05,1.42e-05,19.8200083899
1.42e-05,1.42e-05,20.2486143848
1.42e-05,1.42e-05,20.6864889479
1.42e-05,1.42e-05,21.1338325111
1.42e-05,1.42e-05,21.5908498408
1.42e-05,1.42e-05,22.0577501314
1.42e-05,1.42e-05,22.534747101
1.42e-05,1.42e-05,23.0220590895
1.42e-05,1.42e-05,23.5199091583
1.42e-05,1.42e-05,24.0285251925
1.42e-05,1.42e-05,24.5481400051
1.42e-05,1.42e-05,25.0789914439
1.42e-05,1.42e-05,25.6213224998
1.42e-05,1.42e-05,26.1753814187
1.42e-05,1.42e-05,26.7414218145
1.42e-05,1.42e-05,27.3197027858
1.42e-05,1.42e-05,27.9104890338
1.42e-05,1.42e-05,28.5140509842
1.42e-05,1.42e-05,29.1306649104
1.42e-05,1.42e-05,29.7606130603
1.42e-05,1.42e-05,30.4041837853
1.42e-05,1.42e-05,31.0616716725
1.42e-05,1.42e-05,31.7333776793
1.42e-05,1.42e-05,32.4196092713
1.42e-05,1.42e-05,33.1206805631
1.42e-05,1.42e-05,33.836912462
1.42e-05,1.42e-05,34.5686328147
1.42e-05,1.42e-05,35.3161765577
1.42e-05,1.42e-05,36.0798858707
1.42e-05,1.42e-05,36.8601103325
1.42e-05,1.42e-05,37.6572070819
1.42e-05,1.42e-05,38.4715409807
1.42e-05,1.42e-05,39.3034847807
1.42e-05,1.42e-05,40.1534192947
1.42e-05,1.42e-05,41.0217335702
1.42e-05,1.42e-05,41.908825068
1.42e-05,1.42e-05,42.8150998439
1.42e-05,1.42e-05,43.7409727348
1.42e-05,1.42e-05,44.6868675481
1.42e-05,1.42e-05,45.6532172563
1.42e-05,1.42e-05,46.6404641948
1.42e-05,1.42e-05,47.6490602642
1.42e-05,1.42e-05,48.6794671378
1.42e-05,1.42e-05,49.7321564724
1.42e-05,1.42e-05,50.8076101243
1.42e-05,1.42e-05,51.9063203699
